T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC,,,,,,
FBLN5,-1.958590934,0.08182951,0.24724474,0.370914924,1.087090052,-1.430839777,,,,,,
SCARB2,-1.958193216,0.081881829,0.24724474,0.750071373,1.086812468,-0.414900213,,,,,,
P4HB,-1.953991301,0.082436524,0.247474446,0.664232371,1.083880328,-0.590240061,,,,,,
PRKG1,-1.953979221,0.082438124,0.247474446,0.257997479,1.0838719,-1.954571128,,,,,,
CALR,-1.950209689,0.082938783,0.248494879,0.43634915,1.081242344,-1.196445107,,,,,,
NCAM1,-1.9432108,0.083876011,0.250549993,0.385712699,1.07636223,-1.37440145,,,,,,
DYNLRB1,-1.938332619,0.08453518,0.251813851,0.42190197,1.072962516,-1.24502027,,,,,,
MFGE8,-1.926358383,0.086174067,0.254876957,0.553440402,1.064623408,-0.853500128,,,,,,
ME1,-1.921543692,0.086841477,0.255788536,0.432067843,1.061272798,-1.210670233,,,,,,
SPTAN1,-1.921394664,0.086862213,0.255788536,0.393740253,1.06116911,-1.344683886,,,,,,
MCFD2,-1.918126153,0.087318176,0.256642395,0.491345019,1.058895347,-1.025191665,,,,,,
SERPINA5,-1.913247524,0.088002959,0.25816428,0.517447276,1.055502722,-0.950516224,,,,,,
H6PD,-1.908363792,0.088693535,0.258450961,0.266677545,1.052108036,-1.906831741,,,,,,
EMC8,-1.907639912,0.088796328,0.258450961,0.514823488,1.051604993,-0.957850218,,,,,,
DUS4L-BCAP29,-1.906929577,0.088897307,0.258450961,0.297389246,1.051111396,-1.749575615,,,,,,
ANXA5,-1.906160236,0.089006796,0.258450961,0.506136949,1.050576832,-0.982400298,,,,,,
CLEC3B,-1.905602885,0.089086195,0.258450961,0.56004846,1.05018959,-0.836376429,,,,,,
APPL1,-1.901748556,0.089637105,0.25951117,0.370842815,1.047512176,-1.431120276,,,,,,
UCHL1,-1.898727935,0.090071094,0.260280209,0.482092767,1.045414562,-1.052617311,,,,,,
ADGRE5,-1.896597046,0.090378441,0.260655047,0.502234386,1.043935156,-0.993567288,,,,,,
RAB2A,-1.895493427,0.090538008,0.260655047,0.635257412,1.043169066,-0.654586792,,,,,,
DDOST,-1.893077782,0.090888201,0.261176876,0.285420228,1.04149249,-1.808840513,,,,,,
TXNDC5,-1.891511613,0.091115928,0.261345501,0.392692409,1.040405695,-1.348528385,,,,,,
NUCB1,-1.887551965,0.091694074,0.262067665,0.496040821,1.037658733,-1.011469245,,,,,,
TMEM33,-1.887465536,0.091706731,0.262067665,0.478299452,1.037598785,-1.064013958,,,,,,
IGSF8,-1.878666365,0.093004037,0.264796023,0.289401098,1.031498201,-1.788857698,,,,,,
LIN7C,-1.865420441,0.0949895,0.268962944,0.500030698,1.022324398,-0.999911427,,,,,,
PACSIN3,-1.855643526,0.096480415,0.272187449,0.78032926,1.015560835,-0.357845098,,,,,,
SUN2,-1.854335746,0.096681498,0.272257916,0.360669146,1.01465663,-1.471252084,,,,,,
VCAN,-1.850012992,0.097348954,0.27363906,0.478665523,1.01166871,-1.062910199,,,,,,
CPNE3,-1.845747302,0.098011825,0.27411331,0.59725081,1.008721525,-0.743591189,,,,,,
RHEB,-1.845505115,0.098049586,0.27411331,0.642880581,1.008554235,-0.637377322,,,,,,
CALD1,-1.837194714,0.099353597,0.275764204,0.372437442,1.002816404,-1.424929976,,,,,,
LRRC32,-1.834485912,0.099782134,0.275881955,0.509383368,1.000947213,-0.973176241,,,,,,
ITGA9,-1.83216528,0.100150634,0.275994438,0.480803318,0.999346298,-1.056481242,,,,,,
PFN2,-1.828209381,0.100781732,0.276984108,0.323671817,0.996618182,-1.627396345,,,,,,
NENF,-1.825987616,0.101137803,0.276984108,0.396917612,0.995086483,-1.333088517,,,,,,
DMD,-1.825655252,0.101191171,0.276984108,0.487557013,0.99485738,-1.036357164,,,,,,
ARPC5L,-1.82543591,0.101226404,0.276984108,0.554292675,0.99470619,-0.851280153,,,,,,
MAP1B,-1.82369258,0.101506849,0.277064073,0.288777567,0.993504652,-1.791969419,,,,,,
VAMP3,-1.823027342,0.101614055,0.277064073,0.611294639,0.993046216,-0.710060179,,,,,,
LMNA,-1.819222604,0.102229236,0.278219859,0.70010922,0.990424885,-0.51434809,,,,,,
SYNGR1,-1.8136133,0.103142525,0.27975148,0.668826963,0.986562241,-0.580295086,,,,,,
CES1,-1.804760519,0.104599373,0.282195248,0.246322332,0.98047092,-2.021380663,,,,,,
UQCRC1,-1.801788444,0.105092744,0.282195248,0.241710352,0.978427267,-2.048648834,,,,,,
CALM3,-1.800823138,0.105253452,0.282195248,0.638828167,0.977763651,-0.64650017,,,,,,
BASP1,-1.798991754,0.105558976,0.282195248,0.64792142,0.976504833,-0.626109242,,,,,,
ATP2B4,-1.798229883,0.105686319,0.282195248,0.488080375,0.97598123,-1.034809351,,,,,,
OGN,-1.796684782,0.105945013,0.282398258,0.538369569,0.974919483,-0.89333123,,,,,,
TNS1,-1.789804108,0.107104189,0.284996689,0.255662148,0.970193543,-1.967689514,,,,,,
VDAC2,-1.786107671,0.10773177,0.286174084,0.327709269,0.967656203,-1.609511614,,,,,,
PRXL2A,-1.779015808,0.108945382,0.288630944,0.262566934,0.962791172,-1.929242849,,,,,,
S100A13,-1.778096129,0.109103689,0.288630944,0.390569514,0.962160564,-1.356348753,,,,,,
CAMK2G,-1.775651256,0.109525568,0.288630944,0.479934604,0.960484486,-1.059090257,,,,,,
UGGT1,-1.775587799,0.109536538,0.288630944,0.333486346,0.960440989,-1.584300399,,,,,,
CPQ,-1.775277789,0.109590145,0.288630944,0.417831044,0.960228499,-1.259008408,,,,,,
ENG,-1.771978007,0.110162251,0.289152529,0.615335788,0.9579672,-0.700554192,,,,,,
EHD2,-1.770638417,0.110395292,0.289273087,0.459123012,0.957049448,-1.123047352,,,,,,
BANF1,-1.763742285,0.111602207,0.291447656,0.447210281,0.952327217,-1.160974741,,,,,,
NCALD,-1.76093604,0.112096819,0.29202264,0.441136729,0.950406711,-1.180702209,,,,,,
ARL6IP5,-1.75626982,0.112923743,0.292919643,0.217956243,0.947214734,-2.197889566,,,,,,
UQCRFS1P1,-1.747454012,0.114501419,0.296018719,0.490742687,0.941189131,-1.026961327,,,,,,
NDUFA5,-1.741961148,0.115494669,0.298088077,0.398578151,0.937438061,-1.327065468,,,,,,
MTHFD1,-1.738708766,0.116086517,0.299116258,0.484084163,0.93521822,-1.046670198,,,,,,
ALDH7A1,-1.737390106,0.116327272,0.299237875,0.334365902,0.934318455,-1.580500364,,,,,,
RPN1,-1.728108243,0.118034955,0.301500676,0.43622265,0.927989363,-1.196863413,,,,,,
CTNNB1,-1.727633857,0.118122848,0.301500676,0.404799284,0.92766609,-1.304721355,,,,,,
ACAN,-1.726954917,0.118248746,0.301500676,0.342258864,0.927203456,-1.546840191,,,,,,
TMEM109,-1.726777935,0.118281584,0.301500676,0.343435152,0.927082867,-1.541890383,,,,,,
SNAP23,-1.71497339,0.120490883,0.305121131,0.620792649,0.919045815,-0.68781662,,,,,,
BRK1,-1.714459175,0.120587976,0.305121131,0.442046425,0.918695994,-1.177730203,,,,,,
PCDH7,-1.709524603,0.12152337,0.306492263,0.561862727,0.915340195,-0.831710398,,,,,,
S100A16,-1.708140356,0.121786958,0.306492263,0.497821233,0.914399216,-1.00630033,,,,,,
SAMM50,-1.707589767,0.121891947,0.306492263,0.410076998,0.914024986,-1.286033273,,,,,,
ACTBL2,-1.69715486,0.123897445,0.310446434,0.811037173,0.90693765,-0.302160054,,,,,,
EFR3A,-1.694627719,0.124387656,0.311170415,0.292442332,0.905222715,-1.773775935,,,,,,
TM9SF3,-1.687240241,0.125830847,0.312558556,0.416115153,0.900212882,-1.264945269,,,,,,
GALNT1,-1.686675202,0.125941857,0.312558556,0.573660777,0.899829907,-0.801730216,,,,,,
LTBP2,-1.664920686,0.130284355,0.322620288,0.690160917,0.885107734,-0.534995317,,,,,,
COX6C,-1.656706262,0.131959179,0.325373032,0.55329573,0.879560394,-0.853877306,,,,,,
HEXA,-1.655634746,0.132179084,0.325396281,0.412181967,0.878837261,-1.278646708,,,,,,
ACTN1,-1.652536258,0.132816853,0.325896064,0.633088832,0.876746814,-0.659520149,,,,,,
RARRES2,-1.650986342,0.133136922,0.325896064,0.524772021,0.875701488,-0.930237293,,,,,,
SPTBN1,-1.650558974,0.133225299,0.325896064,0.386838023,0.875413296,-1.370198488,,,,,,
NDUFC2,-1.648117616,0.13373118,0.326616753,0.5140212,0.873767323,-0.960100234,,,,,,
HEBP2,-1.645056986,0.134367841,0.327138082,0.379371075,0.871704661,-1.39831841,,,,,,
GAL3ST4,-1.639807886,0.135466134,0.329293463,0.604498134,0.868169264,-0.726190209,,,,,,
MBLAC2,-1.633122095,0.136876792,0.330643,0.48691253,0.863670183,-1.038265467,,,,,,
NECTIN2,-1.629812862,0.137579919,0.330654285,0.597413122,0.86144495,-0.74319917,,,,,,
CHMP6,-1.629344126,0.137679777,0.330654285,0.485576246,0.861129846,-1.042230248,,,,,,
FBLIM1,-1.62866453,0.137824672,0.330654285,0.439406996,0.860673032,-1.186370254,,,,,,
GPC4,-1.627072112,0.138164727,0.330654285,0.61721103,0.859602816,-0.69616425,,,,,,
IGF1R,-1.621607737,0.13933739,0.331230685,0.550227362,0.855932328,-0.86190021,,,,,,
CHMP4B,-1.621147712,0.139436521,0.331230685,0.49107823,0.855623462,-1.025975227,,,,,,
NDUFS7,-1.620953808,0.139478324,0.331230685,0.621036455,0.855493279,-0.687250137,,,,,,
CHP1,-1.619967766,0.139691078,0.331230685,0.405022915,0.854831331,-1.303924561,,,,,,
VPS26A,-1.61216009,0.141386058,0.334224536,0.435030907,0.849593413,-1.200810194,,,,,,
SLC16A1,-1.607927437,0.142312653,0.33499434,0.52034097,0.846756487,-0.942470789,,,,,,
BDH2,-1.606226284,0.142686598,0.33499434,0.650242535,0.845616816,-0.620950162,,,,,,
BCAP31,-1.605733304,0.142795129,0.33499434,0.740713596,0.845286605,-0.433012277,,,,,,
INSR,-1.601723941,0.143680566,0.33656084,0.447974822,0.842601971,-1.158510447,,,,,,
ABI1,-1.5941374,0.1453695,0.340001887,0.431488403,0.837526702,-1.212606311,,,,,,
SPCS3,-1.592012204,0.145845801,0.340088019,0.396772904,0.83610607,-1.333614588,,,,,,
SSR1,-1.592010048,0.145846285,0.340088019,0.346065876,0.836104629,-1.530881405,,,,,,
CRYZ,-1.590434837,0.146200226,0.340399924,0.428858185,0.835051956,-1.221427441,,,,,,
APLP2,-1.587053806,0.146962526,0.341015061,0.698402163,0.832793391,-0.517870069,,,,,,
PLPP3,-1.576326631,0.149404737,0.342699887,0.421891686,0.825635632,-1.245055437,,,,,,
CISD1,-1.55971877,0.153257374,0.350496893,0.519333894,0.814578621,-0.94526571,,,,,,
CYP20A1,-1.558396707,0.153567836,0.350688146,0.374236626,0.813699735,-1.417977333,,,,,,
RAB12,-1.551987105,0.155080969,0.353621206,0.571913882,0.809441495,-0.806130171,,,,,,
KIF5B,-1.545399592,0.15664991,0.356148177,0.400772161,0.805069851,-1.319145799,,,,,,
S100A4,-1.540901931,0.1577292,0.357195642,0.743136841,0.802087898,-0.428300202,,,,,,
ALDH9A1,-1.540361128,0.157859419,0.357195642,0.806132494,0.801729499,-0.310911119,,,,,,
FBLN7,-1.540318649,0.157869652,0.357195642,0.395535394,0.801701349,-1.338121295,,,,,,
GPR107,-1.538898446,0.158212093,0.357195642,0.483326443,0.800760324,-1.048930168,,,,,,
KRT74,-1.537784254,0.15848121,0.357195642,0.65337576,0.800022222,-0.614015162,,,,,,
SLC25A1,-1.537473152,0.158556424,0.357195642,0.351948814,0.799816157,-1.506562471,,,,,,
GSTT1,-1.536764191,0.158727947,0.357195642,0.379613373,0.799346601,-1.39739728,,,,,,
MT-CO2,-1.532048923,0.159872929,0.359249343,0.31808342,0.796225069,-1.652522922,,,,,,
S100A11,-1.528146817,0.160825984,0.360343436,0.643258223,0.793643784,-0.636530101,,,,,,
ANO1,-1.524340029,0.161760602,0.36191301,0.618331647,0.791127246,-0.693547249,,,,,,
TSN,-1.522812292,0.162137031,0.362230997,0.421691737,0.790117784,-1.245739341,,,,,,
FLNC,-1.51796357,0.163336875,0.364385006,0.580114598,0.786915757,-0.785590172,,,,,,
CD151,-1.515927802,0.163842972,0.36457474,0.652716681,0.785572183,-0.615471184,,,,,,
TOR1AIP1,-1.515724617,0.16389356,0.36457474,0.319092923,0.785438111,-1.647951484,,,,,,
ASPH,-1.514399575,0.164223803,0.364784481,0.319198274,0.784563896,-1.647475243,,,,,,
NCKAP1,-1.512661555,0.164657862,0.365223895,0.323046004,0.783417528,-1.630188465,,,,,,
MTPN,-1.509363763,0.165484249,0.366375021,0.517811818,0.781243338,-0.949500203,,,,,,
SERINC1,-1.508700872,0.165650802,0.366375021,0.425319729,0.780806457,-1.233380318,,,,,,
SLC1A4,-1.507739861,0.165892521,0.366385483,0.628364529,0.780173192,-0.670326352,,,,,,
RHOB,-1.504872817,0.166615506,0.367457306,0.398148885,0.778284585,-1.328620076,,,,,,
MESD,-1.50296695,0.167097644,0.367995667,0.447190585,0.777029673,-1.16103828,,,,,,
TXNDC12,-1.498409933,0.168255443,0.369895256,0.518988264,0.774030877,-0.94622618,,,,,,
MYADM,-1.496644161,0.168705966,0.369895256,0.3820415,0.77286956,-1.388198733,,,,,,
IGFBP7,-1.496269525,0.168801688,0.369895256,0.550775671,0.772623216,-0.860463262,,,,,,
RAP1A,-1.495006848,0.169124661,0.369895256,0.564372397,0.771793062,-0.825280666,,,,,,
RPL23,-1.494882493,0.169156498,0.369895256,0.564382213,0.771711314,-0.825255573,,,,,,
SLC17A5,-1.487979813,0.170932007,0.371831294,0.595101152,0.767176608,-0.748793185,,,,,,
MYLK,-1.487701591,0.171003913,0.371831294,0.545851228,0.766993951,-0.873420298,,,,,,
CCT7,-1.481075573,0.17272426,0.373993985,0.437395286,0.76264666,-1.192990422,,,,,,
ABI3BP,-1.471699929,0.17518441,0.377319621,0.470247866,0.756504546,-1.088506699,,,,,,
ATL3,-1.471373867,0.175270516,0.377319621,0.555032786,0.756291134,-0.849355102,,,,,,
NOMO2,-1.469849533,0.175673556,0.377319621,0.330088886,0.755293608,-1.599073529,,,,,,
RAB22A,-1.469228329,0.175838037,0.377319621,0.566741084,0.754887174,-0.819238305,,,,,,
LAMA5,-1.469156921,0.175856952,0.377319621,0.526392037,0.754840457,-0.925790429,,,,,,
STX2,-1.468735605,0.175968594,0.377319621,0.376785345,0.754564835,-1.408185244,,,,,,
SEC61A1,-1.463608178,0.177332252,0.378124203,0.376410465,0.751212271,-1.409621358,,,,,,
COL14A1,-1.463324255,0.177408031,0.378124203,0.501741366,0.751026724,-0.99498421,,,,,,
COLEC12,-1.462729981,0.177566735,0.378124203,0.633378497,0.750638392,-0.658860207,,,,,,
PKD2,-1.451641511,0.180550754,0.382371871,0.42613895,0.743400693,-1.230604172,,,,,,
LASP1,-1.449525893,0.181125024,0.383063319,0.671492575,0.742021545,-0.574556649,,,,,,
CDC42,-1.442857545,0.182945508,0.386384911,0.321940162,0.73767825,-1.635135531,,,,,,
GSTP1,-1.438859961,0.184044468,0.387646795,0.685951872,0.735077232,-0.543820739,,,,,,
SSR4,-1.432293487,0.185862066,0.390411352,0.551548182,0.730809239,-0.858441174,,,,,,
UQCRB,-1.429670184,0.186592534,0.391056225,0.37159042,0.729105738,-1.428214788,,,,,,
FERMT2,-1.428237983,0.186992383,0.391056225,0.59962781,0.728176083,-0.737860799,,,,,,
ANKH,-1.427915725,0.187082455,0.391056225,0.533643657,0.72796694,-0.906051397,,,,,,
RAB6C,-1.427563813,0.187180858,0.391056225,0.448757245,0.727738566,-1.155992866,,,,,,
RAB34,-1.424582736,0.188016238,0.392271395,0.533046309,0.725804642,-0.90766722,,,,,,
ANXA7,-1.421963038,0.188753009,0.393126878,0.566547922,0.724106116,-0.819730103,,,,,,
SURF4,-1.421317853,0.188934845,0.393126878,0.469436779,0.723687938,-1.090997219,,,,,,
ROR1,-1.417343192,0.190058389,0.394233386,0.47824199,0.721112957,-1.064187288,,,,,,
ITLN1,-1.415615857,0.190548462,0.394233386,0.540763556,0.719994553,-0.886930168,,,,,,
GDI1,-1.415087034,0.190698715,0.394233386,0.401780639,0.719652232,-1.315520048,,,,,,
DUSP3,-1.413976924,0.191014462,0.39427017,0.6211828,0.718933751,-0.686910212,,,,,,
ANO10,-1.412376759,0.191470386,0.394683469,0.526553409,0.717898386,-0.925348222,,,,,,
TGM2,-1.411483583,0.191725282,0.394683469,0.672409926,0.717320616,-0.572587073,,,,,,
ANXA13,-1.41023889,0.19208098,0.394889888,0.401093113,0.716515636,-1.317990899,,,,,,
PHB1,-1.407445512,0.192881322,0.395807658,0.383037501,0.714709826,-1.384442449,,,,,,
HPCAL1,-1.406894823,0.19303944,0.395807658,0.612643962,0.714353951,-0.706879199,,,,,,
RAB21,-1.400024101,0.195021621,0.398973491,0.3706078,0.709917239,-1.43203485,,,,,,
TES,-1.399755086,0.195099585,0.398973491,0.502323887,0.709743654,-0.993310213,,,,,,
FKBP2,-1.38506898,0.199396665,0.405117652,0.453674329,0.70028211,-1.140271068,,,,,,
SLC44A1,-1.385009214,0.199414316,0.405117652,0.73863163,0.700243666,-0.437073052,,,,,,
TMED1,-1.384086995,0.19968686,0.405138957,0.653438471,0.699650512,-0.6138767,,,,,,
DAD1,-1.382079709,0.200281177,0.405812188,0.380980116,0.698359866,-1.392212391,,,,,,
ABCC1,-1.378343375,0.201391461,0.40725899,0.350047075,0.695958947,-1.514379144,,,,,,
SLC4A2,-1.375592311,0.202212324,0.408120435,0.490063177,0.69419238,-1.028960347,,,,,,
PLXNB2,-1.368931543,0.204211609,0.411618185,0.721538291,0.689919572,-0.470852137,,,,,,
FABP3,-1.367966758,0.204502591,0.411667976,0.651009489,0.689301185,-0.619249523,,,,,,
EPHX1,-1.364065124,0.205682944,0.412938293,0.58802965,0.68680172,-0.766039193,,,,,,
TMEM181,-1.363264042,0.20592601,0.412938293,0.550200675,0.686288795,-0.861970186,,,,,,
RAB1B,-1.363234613,0.205934944,0.412938293,0.589073604,0.686269953,-0.763480186,,,,,,
NPNT,-1.356919588,0.207859713,0.416111632,0.595811904,0.682229677,-0.747071147,,,,,,
ARPC3,-1.355621699,0.208257189,0.416111632,0.677602962,0.681399999,-0.561487913,,,,,,
COL1A2,-1.354523143,0.208594124,0.416111632,0.509023351,0.680697931,-0.974196255,,,,,,
CMKLR1,-1.352537332,0.209204362,0.416636539,0.568566061,0.679429265,-0.81460011,,,,,,
GSN,-1.351913939,0.209396242,0.416636539,0.800686771,0.679031116,-0.320690125,,,,,,
LAMB2,-1.338366253,0.213603249,0.421826067,0.703006528,0.670392145,-0.508390009,,,,,,
SMPDL3B,-1.337981807,0.213723669,0.421826067,0.429064545,0.670147379,-1.220733404,,,,,,
TPSB2,-1.337391845,0.213908575,0.421826067,0.463176861,0.669771806,-1.110364914,,,,,,
RFTN1,-1.335460691,0.214514782,0.421826067,0.580174663,0.668542776,-0.785440803,,,,,,
TOLLIP,-1.335200523,0.214596562,0.421826067,0.374677384,0.66837724,-1.416279197,,,,,,
ANXA2,-1.334471868,0.214825745,0.421826067,0.676893045,0.667913674,-0.563000202,,,,,,
EHD3,-1.333171347,0.215235309,0.421826067,0.341333189,0.667086482,-1.550747395,,,,,,
ATP5F1B,-1.332501027,0.215446666,0.421826067,0.635555473,0.666660222,-0.653910041,,,,,,
DSTN,-1.331997836,0.215605441,0.421826067,0.719736074,0.666340283,-0.474460125,,,,,,
NPR1,-1.330267655,0.21615213,0.421933325,0.431750751,0.66524048,-1.211729407,,,,,,
FAM3C,-1.325620014,0.21762645,0.424275526,0.738814965,0.662288321,-0.436715007,,,,,,
NAPG,-1.322199942,0.218716769,0.42569267,0.474557786,0.660117918,-1.075344324,,,,,,
RPL23A,-1.320799333,0.21916461,0.42569267,0.520139339,0.659229574,-0.94302994,,,,,,
MANF,-1.32075309,0.219179409,0.42569267,0.452974164,0.659200249,-1.142499328,,,,,,
SGCG,-1.319804932,0.219483034,0.425747517,0.630636141,0.658599044,-0.665120244,,,,,,
PURA,-1.31244669,0.221851391,0.428088358,0.529778005,0.653937844,-0.916540146,,,,,,
MFAP4,-1.311757548,0.222074297,0.428088358,0.720944373,0.653501704,-0.472040147,,,,,,
VDAC1,-1.300247076,0.225825278,0.433696746,0.483810363,0.646227446,-1.047486424,,,,,,
NDUFA8,-1.298011054,0.226560064,0.433824299,0.489414412,0.644816641,-1.030871511,,,,,,
NOTCH3,-1.297484075,0.226733527,0.433824299,0.477230085,0.644484255,-1.067243099,,,,,,
PIGT,-1.296280408,0.227130149,0.434045996,0.684617367,0.643725214,-0.546630204,,,,,,
TMEM205,-1.287946388,0.229892233,0.436542284,0.433062705,0.6384757,-1.207352161,,,,,,
KCTD12,-1.28740375,0.230073044,0.436542284,0.392560303,0.638134261,-1.349013805,,,,,,
CNTN1,-1.286795912,0.23027572,0.436542284,0.36846111,0.637751851,-1.44041574,,,,,,
HAPLN3,-1.286167922,0.230485272,0.436542284,0.434174178,0.637356821,-1.20365417,,,,,,
SCUBE3,-1.285984307,0.230546572,0.436542284,0.41216831,0.637241331,-1.27869451,,,,,,
CLDND1,-1.285673387,0.230650403,0.436542284,0.529220863,0.637045782,-0.918058157,,,,,,
CAMK2D,-1.285538765,0.230695372,0.436542284,0.77758802,0.636961117,-0.362922102,,,,,,
ITPR1,-1.282800693,0.231611583,0.437515017,0.371194728,0.635239724,-1.429751873,,,,,,
RDH11,-1.281468611,0.232058418,0.437515017,0.420948226,0.634402673,-1.248285294,,,,,,
TUBB2A,-1.274276566,0.234483329,0.440018506,0.514251053,0.629888028,-0.959455252,,,,,,
MYO1B,-1.274154283,0.23452474,0.440018506,0.773020146,0.629811336,-0.371422082,,,,,,
CCT5,-1.272626776,0.235042541,0.440455477,0.518698751,0.628853526,-0.9470312,,,,,,
CHMP2A,-1.265402957,0.237504169,0.442919127,0.546743177,0.624328763,-0.871064782,,,,,,
GULP1,-1.26456907,0.2377897,0.442919127,0.397404423,0.623806962,-1.331320167,,,,,,
ANTXR2,-1.262672568,0.238440137,0.443596212,0.498049418,0.622620637,-1.005639195,,,,,,
SEPTIN8,-1.26064273,0.239137936,0.444359674,0.406198166,0.621351524,-1.299744368,,,,,,
TOM1L2,-1.254891352,0.241124266,0.447071184,0.543416329,0.617759082,-0.879870176,,,,,,
SYNJ2BP,-1.25474344,0.241175529,0.447071184,0.549427032,0.61766676,-0.864000201,,,,,,
ATP5ME,-1.247566408,0.243673754,0.450083182,0.40501659,0.613191247,-1.303947091,,,,,,
SEPTIN11,-1.246125128,0.244178006,0.450476369,0.642435741,0.612293457,-0.638375938,,,,,,
YWHAE,-1.244836641,0.244629529,0.450771455,0.791016635,0.611491122,-0.33822006,,,,,,
SLMAP,-1.23624511,0.247657835,0.455266365,0.460188193,0.606147928,-1.119704127,,,,,,
S100A10,-1.234820197,0.248163047,0.45565329,0.729272539,0.605262888,-0.455470026,,,,,,
SRI,-1.231168022,0.249461809,0.456914448,0.706782814,0.602995932,-0.500661135,,,,,,
SEC62,-1.230397434,0.249736551,0.456914448,0.497689454,0.60251789,-1.006682277,,,,,,
ALPL,-1.21922852,0.253746555,0.462397232,0.422646538,0.595599844,-1.242476463,,,,,,
SMOC2,-1.218721987,0.253929657,0.462397232,0.490006813,0.595286573,-1.029126287,,,,,,
COX4I1,-1.21558469,0.255066132,0.463382235,0.651181944,0.593347204,-0.618867397,,,,,,
MAGT1,-1.215573921,0.25507004,0.463382235,0.430078504,0.59334055,-1.217328072,,,,,,
RGS17,-1.207278793,0.258094941,0.46777817,0.421244471,0.588220508,-1.247270346,,,,,,
HSPG2,-1.202158268,0.259976713,0.46973605,0.680119365,0.585065552,-0.556140125,,,,,,
SLC25A5,-1.201203917,0.260328662,0.46973605,0.422666898,0.584478014,-1.242406964,,,,,,
PIP4K2A,-1.200655463,0.260531097,0.46973605,0.630309292,0.584140432,-0.665868163,,,,,,
STIP1,-1.199374959,0.261004231,0.469746847,0.544393742,0.583352452,-0.877277613,,,,,,
NME1-NME2,-1.195412714,0.262472658,0.471840383,0.838271513,0.580915931,-0.254510492,,,,,,
SDF4,-1.191419846,0.263959196,0.473961576,0.580319291,0.578463204,-0.785081208,,,,,,
TPD52L2,-1.185015394,0.266357774,0.477443424,0.643049103,0.574534623,-0.63699919,,,,,,
ALAD,-1.184289061,0.266630906,0.477443424,0.459783175,0.574089512,-1.120974422,,,,,,
SPCS2,-1.182685335,0.267234775,0.477624234,0.460088083,0.573107028,-1.120018005,,,,,,
CCN3,-1.173742929,0.270622198,0.482006819,0.490378563,0.567636583,-1.028032184,,,,,,
LAMC1,-1.17287553,0.270952602,0.482039958,0.642282452,0.567106673,-0.638720214,,,,,,
NPEPPS,-1.170858277,0.271722255,0.482853571,0.757539025,0.565874789,-0.400607884,,,,,,
GNAI3,-1.168668147,0.272559854,0.483785917,0.438056747,0.564538113,-1.190810323,,,,,,
DCTN1,-1.165826264,0.273649797,0.484852892,0.675594698,0.562804869,-0.56577009,,,,,,
RAP1B,-1.165466018,0.273788211,0.484852892,0.820047809,0.562585256,-0.286220074,,,,,,
ANXA1,-1.163004911,0.274735321,0.485973462,0.775188937,0.561085503,-0.367380112,,,,,,
FAP,-1.158940069,0.276305341,0.487950395,0.749552734,0.558610721,-0.415898114,,,,,,
H2BC21,-1.158478213,0.276484182,0.487950395,0.642338153,0.55832971,-0.638595104,,,,,,
GASK1B,-1.153749121,0.278320734,0.489657122,0.524393176,0.555454439,-0.931279182,,,,,,
HSPA5,-1.149506957,0.27997646,0.491309428,0.621818233,0.552878483,-0.685435176,,,,,,
TMT1A,-1.147898589,0.280606258,0.491747681,0.441352353,0.551902648,-1.179997206,,,,,,
SCARA3,-1.144628304,0.281890303,0.491747681,0.651853558,0.549919864,-0.617380202,,,,,,
PEA15,-1.144100353,0.282098035,0.491747681,0.587380622,0.549599938,-0.767632425,,,,,,
CYB5R1,-1.14400729,0.282134665,0.491747681,0.558201052,0.54954355,-0.84114325,,,,,,
LEFTY2,-1.14172594,0.283033799,0.492759295,0.602113643,0.548161699,-0.731892288,,,,,,
TMED9,-1.13849212,0.284312224,0.494417706,0.717594546,0.546204468,-0.47875917,,,,,,
ATP5PF,-1.136194225,0.285223432,0.494417706,0.51861186,0.544814798,-0.947272897,,,,,,
PRG4,-1.135328699,0.285567248,0.494417706,0.670798675,0.544291603,-0.576048255,,,,,,
ENO1,-1.134961399,0.285713252,0.494417706,0.835481507,0.544069616,-0.259320199,,,,,,
PHB2,-1.133838115,0.286160129,0.494417706,0.387561026,0.543390878,-1.367504597,,,,,,
SFXN3,-1.13070486,0.287409562,0.495909802,0.364799232,0.541498788,-1.454825401,,,,,,
RSU1,-1.126420194,0.289125122,0.49775884,0.377736898,0.538914171,-1.40454638,,,,,,
SEPTIN2,-1.124671103,0.289827772,0.498413498,0.582272255,0.537860002,-0.780234218,,,,,,
RAB14,-1.119530411,0.291900712,0.500951232,0.804394905,0.534764846,-0.31402415,,,,,,
EMC2,-1.119404756,0.291951527,0.500951232,0.573065488,0.534689249,-0.80322808,,,,,,
MMP14,-1.114774357,0.29382894,0.502701153,0.783689085,0.531905432,-0.351646692,,,,,,
PGM5,-1.114484306,0.293946858,0.502701153,0.791311339,0.531731178,-0.337682664,,,,,,
LMOD1,-1.111840603,0.295023349,0.503984639,0.404998251,0.530143611,-1.304012418,,,,,,
ERGIC2,-1.110229504,0.295680892,0.504023052,0.489710725,0.52917674,-1.029998302,,,,,,
ESYT2,-1.11018794,0.295697871,0.504023052,0.385157264,0.529151803,-1.37648046,,,,,,
