T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC,,,,,,
PBXIP1,-3.595324379,0.005790428,0.06260141,0.163347726,2.237289338,-2.613981724,,,,,,
ITFG1,-3.57503551,0.005976974,0.062740277,0.162264366,2.223518657,-2.623581886,,,,,,
ADIPOQ,-3.570354063,0.006020906,0.062740277,0.477788077,2.220338139,-1.065557241,,,,,,
ITGB5,-3.563341584,0.006087349,0.062740277,0.423285729,2.215571798,-1.240296245,,,,,,
GPC1,-3.550100827,0.00621491,0.062872343,0.223876464,2.206565137,-2.159225225,,,,,,
DDR2,-3.523134307,0.00648345,0.064667186,0.350413418,2.188193831,-1.512870073,,,,,,
MYL9,-3.506596787,0.006654126,0.065182821,0.46203367,2.176908966,-1.113930106,,,,,,
FKBP10,-3.505879592,0.006661634,0.065182821,0.373881582,2.176419252,-1.41934669,,,,,,
CSPG4,-3.500678902,0.00671634,0.065304788,0.228752635,2.172867343,-2.128139734,,,,,,
AEBP1,-3.485056717,0.006883516,0.065815472,0.365197702,2.162189657,-1.453250408,,,,,,
SLC22A3,-3.483853091,0.006896576,0.065815472,0.165960405,2.161366475,-2.59108901,,,,,,
MTDH,-3.469238375,0.007057235,0.06652735,0.165492239,2.151365415,-2.595164537,,,,,,
RTN4,-3.448118189,0.007296359,0.068364672,0.499109221,2.136893811,-1.002572536,,,,,,
MYL6,-3.429719432,0.007511574,0.069371246,0.441926964,2.124269052,-1.178120136,,,,,,
GJA4,-3.429038915,0.00751966,0.069371246,0.347233901,2.123801782,-1.526020288,,,,,,
SLC12A4,-3.408504731,0.007767985,0.070206723,0.293284075,2.109691639,-1.769629359,,,,,,
CSRP1,-3.402274718,0.007845007,0.070206723,0.565706908,2.105406648,-0.821873307,,,,,,
GNG12,-3.392190173,0.007971378,0.070476439,0.376005477,2.098466587,-1.411174417,,,,,,
LNPK,-3.370612296,0.008248961,0.072050244,0.141098369,2.083600769,-2.825226784,,,,,,
JAM3,-3.361828453,0.008364828,0.072651821,0.29820792,2.077542985,-1.745609522,,,,,,
H1-4,-3.352708313,0.008486928,0.073300508,0.283753914,2.071249473,-1.817287803,,,,,,
CYBRD1,-3.327270052,0.008837408,0.075069408,0.550556832,2.053675108,-0.861036599,,,,,,
GNB1,-3.287707418,0.009412726,0.079053357,0.574241595,2.026284562,-0.800270259,,,,,,
MAOB,-3.283272079,0.009479611,0.079053357,0.145963354,2.023209491,-2.776321888,,,,,,
TPBG,-3.279371011,0.009538847,0.079053357,0.310532391,2.020504122,-1.687184334,,,,,,
SLC14A1,-3.255933785,0.009902923,0.080156643,0.356865606,2.004236604,-1.486547232,,,,,,
PEBP1,-3.22432118,0.010416998,0.083443931,0.538902254,1.982257425,-0.891904473,,,,,,
CALHM5,-3.202229863,0.010792616,0.085591912,0.230119365,1.966873277,-2.119545698,,,,,,
LANCL1,-3.190036714,0.011005923,0.085739402,0.258997381,1.958373544,-1.948990583,,,,,,
CLIC4,-3.189894054,0.011008444,0.085739402,0.573553186,1.958274061,-0.802000821,,,,,,
ITGA3,-3.188319442,0.011036314,0.085739402,0.444230989,1.957175966,-1.170618057,,,,,,
HRAS,-3.174565993,0.01128287,0.086353053,0.279982422,1.947580421,-1.83659184,,,,,,
CRIP2,-3.137680272,0.011972667,0.090291429,0.52011093,1.9218091,-0.943108737,,,,,,
TMED2,-3.13452258,0.01203371,0.090311245,0.517604131,1.919600441,-0.950078964,,,,,,
TGOLN2,-3.123499166,0.012249346,0.090923544,0.429862598,1.911887107,-1.218052506,,,,,,
VASN,-3.123294847,0.01225338,0.090923544,0.289870701,1.911744096,-1.786518574,,,,,,
SELENOM,-3.088428442,0.01296232,0.094083321,0.333274454,1.887317248,-1.585217357,,,,,,
CYB5R3,-3.083700533,0.013061663,0.094361357,0.312413675,1.884001538,-1.678470492,,,,,,
RAB5B,-3.073672242,0.013274984,0.095014468,0.244993062,1.876965998,-2.029187202,,,,,,
ZMPSTE24,-3.049953791,0.013793936,0.09759922,0.201775556,1.860311809,-2.309176683,,,,,,
GJA1,-3.048540774,0.013825504,0.09759922,0.284423725,1.859319029,-1.813886285,,,,,,
PGRMC1,-3.043584311,0.013936827,0.097912309,0.19906811,1.855836099,-2.328665972,,,,,,
CRYAB,-3.040526173,0.014005973,0.097912309,0.363027451,1.853686715,-1.461849451,,,,,,
TPCN1,-3.033128307,0.014174708,0.098136297,0.295766309,1.848485889,-1.757470369,,,,,,
SDC3,-3.023308079,0.014401931,0.098641174,0.26053812,1.84157928,-1.940433621,,,,,,
MYH10,-3.019820094,0.014483536,0.098641174,0.39018482,1.839125399,-1.357770443,,,,,,
SLC9A6,-3.006524529,0.014798987,0.100131461,0.214038161,1.829768009,-2.224060059,,,,,,
CALHM2,-3.00515449,0.014831892,0.100131461,0.465970235,1.828803454,-1.101690292,,,,,,
ARPC1A,-2.993661734,0.015110895,0.101131794,0.409955642,1.820709799,-1.28646028,,,,,,
WFS1,-2.989747438,0.015207147,0.101337284,0.156528056,1.817952243,-2.67550683,,,,,,
SOD3,-2.980883242,0.015427452,0.10185641,0.497780922,1.8117058,-1.006417155,,,,,,
CASK,-2.980755728,0.015430645,0.10185641,0.369412732,1.811615925,-1.436694503,,,,,,
NPL,-2.962769334,0.015887891,0.103549969,0.210385123,1.798933757,-2.248895407,,,,,,
PRDX4,-2.960712063,0.015941069,0.103549969,0.627011511,1.797482557,-0.673436165,,,,,,
LHFPL2,-2.945251314,0.016346601,0.104494639,0.662419383,1.786572543,-0.594183207,,,,,,
RCN1,-2.944150259,0.016375882,0.104494639,0.31994205,1.785795307,-1.644117475,,,,,,
TOR1AIP2,-2.941639408,0.016442855,0.104494639,0.350202085,1.784022765,-1.51374042,,,,,,
NPTN,-2.939918462,0.016488921,0.104494639,0.476766772,1.782807753,-1.068644404,,,,,,
TMEM43,-2.939369734,0.016503637,0.104494639,0.187688349,1.782420326,-2.413589001,,,,,,
SUSD2,-2.932568384,0.016687161,0.104871345,0.214850241,1.777617544,-2.218596697,,,,,,
MYH11,-2.923357594,0.016939038,0.105660837,0.564944044,1.771111251,-0.823820114,,,,,,
PTGIS,-2.90993977,0.017312947,0.106669147,0.370762632,1.761628999,-1.431432247,,,,,,
TNS2,-2.906337916,0.017414749,0.106669147,0.145875457,1.759082769,-2.777190924,,,,,,
CDH2,-2.904877328,0.017456206,0.106669147,0.117984861,1.758050147,-3.08332634,,,,,,
COL3A1,-2.900470359,0.017581903,0.107014261,0.451852832,1.754934116,-1.14607513,,,,,,
LGALS1,-2.882654431,0.018099566,0.109304412,0.549537499,1.74233183,-0.863710165,,,,,,
RRAS,-2.869692863,0.01848595,0.110344707,0.430019693,1.733158222,-1.217525363,,,,,,
MXRA7,-2.860539669,0.018763874,0.110594581,0.311861936,1.726677493,-1.681020617,,,,,,
VCL,-2.857328686,0.018862379,0.110594581,0.515184011,1.724403539,-0.956840277,,,,,,
CALU,-2.856577762,0.018885491,0.110594581,0.399683442,1.723871714,-1.323070288,,,,,,
GNA11,-2.816187978,0.020172175,0.115504382,0.378143187,1.695247263,-1.402995467,,,,,,
ERLEC1,-2.797433079,0.02079968,0.118221709,0.190457888,1.681943353,-2.392456055,,,,,,
TMED4,-2.789563769,0.021068856,0.119312237,0.342698175,1.676359042,-1.544989586,,,,,,
SDC4,-2.787330388,0.021145895,0.119312237,0.292989005,1.674773939,-1.771081567,,,,,,
ACTN4,-2.773720739,0.021621578,0.12155258,0.588412459,1.665112614,-0.7651003,,,,,,
TMED7,-2.717002576,0.023723941,0.13006104,0.457317425,1.624813159,-1.128732204,,,,,,
S100A6,-2.709821848,0.024004499,0.13021852,0.640131384,1.619707357,-0.643560052,,,,,,
ATP9A,-2.709800077,0.024005355,0.13021852,0.204388323,1.619691875,-2.29061532,,,,,,
COL8A1,-2.69553597,0.024572692,0.132830009,0.451615696,1.609547255,-1.146832466,,,,,,
CD81,-2.687612956,0.024893663,0.132992228,0.641499461,1.603911193,-0.640480042,,,,,,
CYP4X1,-2.68128547,0.02515304,0.132992228,0.224919222,1.599409518,-2.152521133,,,,,,
ANTXR1,-2.680746158,0.025175274,0.132992228,0.702463372,1.599025802,-0.509505093,,,,,,
ATP1A1,-2.675876921,0.025376913,0.132992228,0.53458812,1.595561212,-0.903500319,,,,,,
MYO1D,-2.671228306,0.025570939,0.133357725,0.486445404,1.592253327,-1.039650202,,,,,,
APP,-2.670078163,0.025619175,0.133357725,0.281467345,1.591434861,-1.828960538,,,,,,
LEMD2,-2.663093147,0.025914101,0.134440271,0.22334865,1.586463846,-2.162630558,,,,,,
RAB18,-2.660634973,0.026018706,0.134448304,0.541445246,1.584714306,-0.885112643,,,,,,
PRNP,-2.658975112,0.02608958,0.134448304,0.382216426,1.583532906,-1.387538314,,,,,,
CANX,-2.651529511,0.026409906,0.135261779,0.37221744,1.578233149,-1.425782442,,,,,,
ADAM17,-2.651240543,0.026422417,0.135261779,0.381952362,1.578027451,-1.38853538,,,,,,
CAVIN1,-2.645144497,0.026687762,0.136124635,0.463801615,1.573687845,-1.108420253,,,,,,
PLS3,-2.641942149,0.026828227,0.136124635,0.618218998,1.571408028,-0.693810105,,,,,,
CSRP2,-2.638474045,0.02698119,0.136316731,0.361650844,1.5689389,-1.467330575,,,,,,
CRELD1,-2.635076969,0.027131873,0.136631516,0.233482219,1.566520227,-2.098615408,,,,,,
PARK7,-2.631227696,0.027303639,0.137050085,0.578156019,1.563779464,-0.790469229,,,,,,
ITGA11,-2.617835786,0.027909811,0.138632013,0.38536584,1.554243111,-1.375699401,,,,,,
HSPB1,-2.612579097,0.028151438,0.13882337,0.517808224,1.550499421,-0.949510217,,,,,,
FSTL1,-2.611621275,0.028195691,0.13882337,0.275604368,1.549817259,-1.859329343,,,,,,
KCNMA1,-2.601042735,0.028689121,0.140253139,0.377126568,1.542282754,-1.406879306,,,,,,
ATP1B3,-2.599575468,0.028758244,0.140253139,0.515660349,1.541237638,-0.95550698,,,,,,
ACTA2,-2.592259265,0.029105416,0.141328522,0.4548711,1.536026183,-1.136470318,,,,,,
