Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57,microRNA 58,microRNA 59,microRNA 60,microRNA 61,microRNA 62,microRNA 63,microRNA 64,microRNA 65,microRNA 66,microRNA 67,microRNA 68,microRNA 69,microRNA 70,microRNA 71,microRNA 72,microRNA 73,microRNA 74,microRNA 75,microRNA 76,microRNA 77,microRNA 78,microRNA 79,microRNA 80,microRNA 81,microRNA 82,microRNA 83,microRNA 84,microRNA 85,microRNA 86,microRNA 87,microRNA 88,microRNA 89,microRNA 90,microRNA 91,microRNA 92,microRNA 93,microRNA 94,microRNA 95,microRNA 96,microRNA 97,microRNA 98,microRNA 99,microRNA 100,microRNA 101,microRNA 102,microRNA 103,microRNA 104,microRNA 105,microRNA 106,microRNA 107,microRNA 108,microRNA 109,microRNA 110,microRNA 111,microRNA 112,microRNA 113,microRNA 114
BCL2,1.62E-15,2.33E-11,0.355,48,hsa-miR-34b-5p,hsa-miR-21-5p,hsa-miR-204-5p,hsa-miR-153-3p,hsa-let-7a-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-16-5p,hsa-miR-34a-5p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p,hsa-miR-181b-5p,hsa-miR-181a-5p,hsa-miR-192-5p,hsa-miR-195-5p,hsa-miR-630,hsa-miR-365a-3p,hsa-miR-125b-5p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-429,hsa-miR-7-5p,hsa-miR-148a-3p,hsa-miR-24-2-5p,hsa-miR-182-5p,hsa-miR-196b-5p,hsa-miR-143-3p,hsa-miR-215-5p,hsa-miR-103a-3p,hsa-miR-96-5p,hsa-miR-205-5p,hsa-miR-448,hsa-miR-125a-5p,hsa-miR-708-5p,hsa-miR-184,hsa-miR-30b-5p,hsa-miR-135a-5p,hsa-miR-224-5p,hsa-miR-503-5p,hsa-miR-494-3p,hsa-miR-211-5p,hsa-miR-9-5p,hsa-miR-26a-1-3p,hsa-miR-16-1-3p,hsa-miR-98-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMBOX1,1.40E-12,9.59E-09,0.406,50,hsa-miR-30c-1-3p,hsa-miR-335-5p,hsa-miR-15a-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-195-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-93-5p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-106b-5p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-372-3p,hsa-miR-373-3p,hsa-miR-520c-3p,hsa-miR-519d-3p,hsa-miR-520d-3p,hsa-miR-302e,hsa-miR-548az-5p,hsa-miR-561-5p,hsa-miR-802,hsa-miR-7-2-3p,hsa-miR-7-1-3p,hsa-miR-559,hsa-miR-548y,hsa-miR-548w,hsa-miR-548o-5p,hsa-miR-548j-5p,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548n,hsa-miR-670-3p,hsa-miR-342-3p,hsa-miR-372-5p,hsa-miR-616-5p,hsa-miR-373-5p,hsa-miR-371b-5p,hsa-miR-216b-3p,hsa-miR-29b-2-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYC,2.00E-12,9.59E-09,0.464,66,hsa-miR-24-3p,hsa-let-7a-5p,hsa-let-7g-5p,hsa-miR-34a-5p,hsa-miR-98-5p,hsa-let-7c-5p,hsa-miR-26a-5p,hsa-miR-145-5p,hsa-miR-21-5p,hsa-miR-34b-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-378a-3p,hsa-miR-373-3p,hsa-miR-135a-5p,hsa-miR-429,hsa-miR-335-5p,hsa-let-7f-5p,hsa-miR-320b,hsa-miR-744-5p,hsa-let-7b-5p,hsa-miR-148a-3p,hsa-miR-494-3p,hsa-miR-30a-3p,hsa-miR-30d-3p,hsa-miR-323a-3p,hsa-miR-487b-3p,hsa-miR-7-5p,hsa-miR-93-5p,hsa-miR-324-3p,hsa-miR-184,hsa-miR-25-3p,hsa-miR-92a-2-5p,hsa-miR-92a-1-5p,hsa-miR-19b-2-5p,hsa-miR-19b-1-5p,hsa-miR-19a-3p,hsa-miR-106b-5p,hsa-miR-92a-3p,hsa-miR-516a-5p,hsa-miR-455-3p,hsa-miR-30d-5p,hsa-miR-30c-5p,hsa-miR-23a-3p,hsa-miR-222-3p,hsa-miR-196b-5p,hsa-miR-196a-5p,hsa-miR-16-5p,hsa-miR-125a-5p,hsa-let-7i-5p,hsa-let-7e-5p,hsa-let-7d-5p,hsa-miR-622,hsa-miR-135b-5p,hsa-miR-186-5p,hsa-miR-130a-3p,hsa-miR-25-5p,hsa-miR-29a-3p,hsa-miR-29b-3p,hsa-miR-129-2-3p,hsa-miR-377-5p,hsa-miR-512-5p,hsa-miR-513c-5p,hsa-miR-514b-5p,hsa-miR-586,hsa-miR-655-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMI1,2.77E-11,9.14E-08,0.405,44,hsa-miR-200c-3p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-128-3p,hsa-miR-302b-3p,hsa-miR-708-5p,hsa-miR-200b-3p,hsa-let-7g-5p,hsa-miR-106b-3p,hsa-miR-27a-3p,hsa-miR-544a,hsa-miR-494-3p,hsa-miR-300,hsa-miR-30e-5p,hsa-miR-302a-3p,hsa-miR-183-5p,hsa-miR-379-3p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548j-5p,hsa-miR-548n,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548y,hsa-miR-548o-5p,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-580-5p,hsa-miR-586,hsa-miR-452-5p,hsa-miR-487b-3p,hsa-miR-548az-5p,hsa-miR-192-5p,hsa-miR-21-5p,hsa-miR-200c-5p,hsa-miR-128-1-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTEN,3.17E-11,9.14E-08,0.482,65,hsa-miR-17-5p,hsa-miR-216a-5p,hsa-miR-214-3p,hsa-miR-26a-5p,hsa-miR-21-5p,hsa-miR-494-3p,hsa-miR-19a-3p,hsa-miR-141-3p,hsa-miR-20a-5p,hsa-miR-19b-3p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-106b-5p,hsa-miR-29b-3p,hsa-miR-519d-3p,hsa-miR-93-5p,hsa-miR-519a-3p,hsa-miR-519c-3p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-22-3p,hsa-miR-25-3p,hsa-miR-23a-3p,hsa-miR-29a-3p,hsa-miR-23b-3p,hsa-miR-144-3p,hsa-miR-193b-3p,hsa-miR-181b-5p,hsa-miR-182-5p,hsa-miR-128-3p,hsa-miR-29c-3p,hsa-miR-92a-1-5p,hsa-miR-92a-3p,hsa-miR-32-5p,hsa-miR-200a-3p,hsa-miR-492,hsa-miR-155-3p,hsa-miR-205-5p,hsa-miR-429,hsa-miR-153-3p,hsa-miR-26b-5p,hsa-miR-543,hsa-miR-376a-5p,hsa-miR-607,hsa-miR-105-5p,hsa-miR-216b-3p,hsa-miR-26a-2-3p,hsa-miR-26a-1-3p,hsa-miR-652-5p,hsa-miR-548as-3p,hsa-miR-301b-3p,hsa-miR-130a-3p,hsa-miR-181a-5p,hsa-miR-106a-3p,hsa-miR-106b-3p,hsa-miR-20a-3p,hsa-miR-193a-3p,hsa-miR-302a-3p,hsa-miR-200a-5p,hsa-miR-200c-3p,hsa-miR-638,hsa-miR-200c-5p,hsa-miR-744-3p,hsa-miR-21-3p,hsa-miR-152-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECN1,4.88E-11,0.000000117,0.264,19,hsa-miR-30a-5p,hsa-miR-100-5p,hsa-miR-376b-3p,hsa-miR-30b-5p,hsa-miR-216a-5p,hsa-miR-199a-5p,hsa-miR-216b-5p,hsa-miR-30d-5p,hsa-miR-935,hsa-miR-548e-5p,hsa-miR-30e-5p,hsa-miR-30c-5p,hsa-miR-34a-5p,hsa-miR-221-3p,hsa-miR-129-5p,hsa-miR-30a-3p,hsa-miR-9-5p,hsa-miR-124-5p,hsa-miR-30b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATNAL1,1.65E-10,0.00000034,0.471,57,hsa-miR-106b-5p,hsa-miR-186-5p,hsa-miR-122-5p,hsa-miR-196a-5p,hsa-miR-192-5p,hsa-miR-103a-3p,hsa-miR-93-5p,hsa-miR-19b-3p,hsa-miR-16-5p,hsa-let-7d-5p,hsa-miR-548h-5p,hsa-miR-548j-5p,hsa-let-7e-5p,hsa-miR-511-3p,hsa-miR-20a-5p,hsa-miR-591,hsa-miR-100-3p,hsa-miR-548e-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-548l,hsa-miR-548k,hsa-miR-548av-5p,hsa-miR-559,hsa-miR-548y,hsa-miR-548w,hsa-miR-548o-5p,hsa-miR-548i,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548az-5p,hsa-miR-548n,hsa-miR-519d-3p,hsa-miR-17-5p,hsa-miR-297,hsa-miR-567,hsa-miR-759,hsa-miR-574-5p,hsa-miR-223-5p,hsa-miR-648,hsa-miR-892a,hsa-miR-455-3p,hsa-miR-650,hsa-miR-377-5p,hsa-miR-568,hsa-miR-656-3p,hsa-miR-19a-3p,hsa-miR-195-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,3.52E-10,0.00000046,0.418,42,hsa-miR-199a-3p,hsa-miR-125b-5p,hsa-miR-149-3p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-143-3p,hsa-miR-26b-5p,hsa-miR-193b-3p,hsa-miR-100-5p,hsa-miR-19a-3p,hsa-miR-133b,hsa-miR-542-3p,hsa-miR-708-5p,hsa-miR-105-5p,hsa-miR-192-3p,hsa-miR-496,hsa-miR-365b-3p,hsa-miR-365a-3p,hsa-miR-378h,hsa-miR-378f,hsa-miR-378e,hsa-miR-378d,hsa-miR-378c,hsa-miR-378b,hsa-miR-378a-3p,hsa-miR-330-5p,hsa-miR-326,hsa-miR-188-5p,hsa-miR-99a-5p,hsa-miR-637,hsa-miR-138-5p,hsa-miR-184,hsa-miR-196b-5p,hsa-miR-34a-5p,hsa-miR-340-5p,hsa-miR-22-3p,hsa-miR-192-5p,hsa-miR-125a-5p,hsa-miR-494-3p,hsa-miR-185-3p,hsa-miR-382-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSP90AA1,2.64E-10,0.00000046,0.465,54,hsa-miR-16-5p,hsa-miR-760,hsa-miR-421,hsa-miR-501-5p,hsa-miR-484,hsa-miR-324-3p,hsa-miR-378a-3p,hsa-miR-30e-5p,hsa-miR-186-5p,hsa-miR-222-3p,hsa-miR-204-5p,hsa-miR-183-5p,hsa-miR-30c-5p,hsa-miR-25-3p,hsa-miR-17-5p,hsa-let-7b-5p,hsa-miR-889-3p,hsa-miR-374a-3p,hsa-miR-219a-2-3p,hsa-miR-361-5p,hsa-miR-500b-5p,hsa-miR-362-5p,hsa-miR-656-3p,hsa-miR-224-5p,hsa-miR-7-2-3p,hsa-miR-7-1-3p,hsa-miR-582-5p,hsa-miR-101-3p,hsa-miR-550a-3p,hsa-miR-200c-5p,hsa-miR-600,hsa-miR-152-3p,hsa-miR-148b-3p,hsa-miR-148a-3p,hsa-miR-141-5p,hsa-miR-548l,hsa-miR-548k,hsa-miR-548av-5p,hsa-miR-559,hsa-miR-548y,hsa-miR-548w,hsa-miR-548o-5p,hsa-miR-548j-5p,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-23a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITGB8,3.17E-10,0.00000046,0.408,40,hsa-miR-93-5p,hsa-miR-19b-1-5p,hsa-miR-145-5p,hsa-miR-335-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-148a-3p,hsa-miR-152-3p,hsa-miR-148b-3p,hsa-miR-376b-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-656-3p,hsa-miR-548j-5p,hsa-miR-548l,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548y,hsa-miR-548o-5p,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-548n,hsa-miR-21-5p,hsa-miR-487a-3p,hsa-miR-154-3p,hsa-miR-576-5p,hsa-miR-186-5p,hsa-miR-25-3p,hsa-miR-302f,hsa-miR-32-5p,hsa-miR-363-3p,hsa-miR-367-3p,hsa-miR-652-5p,hsa-miR-92a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEB2,3.35E-10,0.00000046,0.314,24,hsa-miR-429,hsa-miR-141-3p,hsa-miR-200b-3p,hsa-miR-200a-3p,hsa-miR-200c-3p,hsa-miR-205-5p,hsa-miR-708-5p,hsa-miR-153-3p,hsa-miR-138-5p,hsa-miR-221-3p,hsa-miR-181a-5p,hsa-miR-215-5p,hsa-miR-335-5p,hsa-miR-101-3p,hsa-miR-590-3p,hsa-miR-34a-5p,hsa-miR-30e-5p,hsa-miR-30c-5p,hsa-miR-222-3p,hsa-miR-16-5p,hsa-miR-125a-5p,hsa-let-7d-5p,hsa-miR-144-3p,hsa-miR-138-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMGA2,5.65E-10,0.000000679,0.502,63,hsa-miR-26a-5p,hsa-miR-125b-5p,hsa-miR-34a-5p,hsa-let-7d-5p,hsa-let-7e-5p,hsa-let-7b-5p,hsa-let-7g-5p,hsa-let-7c-5p,hsa-let-7a-5p,hsa-miR-98-5p,hsa-miR-370-3p,hsa-miR-29b-3p,hsa-miR-196a-5p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-204-5p,hsa-miR-760,hsa-let-7f-5p,hsa-miR-25-3p,hsa-miR-32-5p,hsa-miR-92a-3p,hsa-let-7i-5p,hsa-miR-363-3p,hsa-miR-367-3p,hsa-miR-196b-5p,hsa-miR-491-5p,hsa-let-7c-3p,hsa-miR-508-3p,hsa-miR-648,hsa-miR-365a-5p,hsa-miR-365b-5p,hsa-miR-145-5p,hsa-miR-23b-3p,hsa-miR-493-5p,hsa-let-7a-2-3p,hsa-miR-19b-2-5p,hsa-miR-19b-1-5p,hsa-miR-19a-5p,hsa-miR-181b-5p,hsa-miR-181a-5p,hsa-miR-543,hsa-miR-33b-3p,hsa-miR-633,hsa-miR-107,hsa-miR-485-5p,hsa-miR-10a-3p,hsa-miR-16-1-3p,hsa-miR-202-3p,hsa-miR-222-5p,hsa-miR-30a-3p,hsa-miR-30d-3p,hsa-miR-326,hsa-miR-330-5p,hsa-miR-335-3p,hsa-miR-490-5p,hsa-miR-506-5p,hsa-miR-509-3-5p,hsa-miR-509-5p,hsa-miR-548am-3p,hsa-miR-548ar-3p,hsa-miR-591,hsa-miR-627-3p,hsa-miR-892c-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRAS,6.70E-10,0.000000742,0.433,44,hsa-miR-18a-3p,hsa-miR-143-3p,hsa-let-7g-5p,hsa-let-7a-5p,hsa-miR-96-5p,hsa-miR-216b-5p,hsa-miR-622,hsa-miR-193b-3p,hsa-miR-181a-5p,hsa-miR-16-5p,hsa-miR-224-5p,hsa-miR-452-5p,hsa-miR-152-3p,hsa-miR-340-5p,hsa-miR-433-3p,hsa-miR-487b-3p,hsa-miR-365a-3p,hsa-miR-200c-3p,hsa-miR-27a-3p,hsa-miR-204-3p,hsa-miR-330-5p,hsa-miR-326,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-548aq-3p,hsa-miR-548am-3p,hsa-miR-548aj-3p,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-193a-3p,hsa-miR-183-5p,hsa-miR-877-5p,hsa-miR-642a-5p,hsa-miR-642b-5p,hsa-miR-124-5p,hsa-miR-513c-3p,hsa-miR-513a-3p,hsa-miR-30d-3p,hsa-miR-30a-3p,hsa-let-7c-3p,hsa-miR-199a-5p,hsa-miR-543,hsa-miR-384,hsa-miR-613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAP1B,8.11E-10,0.000000834,0.412,39,hsa-miR-518b,hsa-miR-26b-5p,hsa-miR-181a-5p,hsa-miR-181b-5p,hsa-miR-28-5p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-875-3p,hsa-miR-101-3p,hsa-miR-30a-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30b-5p,hsa-miR-30e-5p,hsa-miR-651-3p,hsa-miR-494-3p,hsa-miR-100-5p,hsa-miR-580-3p,hsa-miR-513a-5p,hsa-miR-27b-3p,hsa-miR-27a-3p,hsa-miR-128-3p,hsa-miR-216a-3p,hsa-miR-208b-5p,hsa-miR-208a-5p,hsa-miR-642b-5p,hsa-miR-454-5p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-379-3p,hsa-miR-510-3p,hsa-miR-378h,hsa-miR-378f,hsa-miR-378e,hsa-miR-378d,hsa-miR-378c,hsa-miR-378b,hsa-miR-378a-3p,hsa-miR-369-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUWE1,8.73E-10,0.000000838,0.349,28,hsa-miR-34a-5p,hsa-miR-877-3p,hsa-miR-877-5p,hsa-miR-424-3p,hsa-miR-7-1-3p,hsa-miR-30c-2-3p,hsa-miR-660-5p,hsa-miR-193b-3p,hsa-miR-484,hsa-miR-324-3p,hsa-miR-361-5p,hsa-miR-29c-3p,hsa-miR-106b-5p,hsa-miR-186-5p,hsa-miR-125b-5p,hsa-miR-181b-5p,hsa-miR-181a-5p,hsa-miR-196a-5p,hsa-miR-93-5p,hsa-miR-29a-3p,hsa-miR-17-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-let-7a-5p,hsa-miR-190a-3p,hsa-miR-410-3p,hsa-miR-590-3p,hsa-miR-542-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGFBR3,1.17E-09,0.00000105,0.42,40,hsa-miR-21-5p,hsa-miR-193b-3p,hsa-miR-181a-5p,hsa-miR-101-3p,hsa-miR-136-3p,hsa-miR-382-3p,hsa-miR-513a-5p,hsa-miR-186-5p,hsa-miR-27b-3p,hsa-miR-216a-3p,hsa-miR-27a-3p,hsa-miR-128-3p,hsa-miR-582-5p,hsa-miR-202-3p,hsa-miR-144-3p,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-98-5p,hsa-let-7d-5p,hsa-let-7f-5p,hsa-let-7g-5p,hsa-let-7i-5p,hsa-let-7e-5p,hsa-let-7b-5p,hsa-miR-196a-5p,hsa-miR-196b-5p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-548aq-3p,hsa-miR-548aj-3p,hsa-miR-548am-3p,hsa-miR-330-3p,hsa-miR-195-5p,hsa-miR-15b-5p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-424-5p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-670-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTGS2,1.45E-09,0.00000116,0.279,18,hsa-miR-16-5p,hsa-let-7b-5p,hsa-miR-101-3p,hsa-miR-26b-5p,hsa-miR-143-3p,hsa-miR-335-5p,hsa-miR-132-3p,hsa-miR-128-3p,hsa-miR-124-3p,hsa-miR-181a-5p,hsa-miR-199a-3p,hsa-miR-199a-5p,hsa-miR-589-5p,hsa-miR-558,hsa-miR-379-3p,hsa-miR-26a-5p,hsa-miR-144-3p,hsa-miR-204-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRRM2,1.45E-09,0.00000116,0.279,18,hsa-miR-34a-5p,hsa-miR-26b-5p,hsa-miR-877-5p,hsa-miR-744-5p,hsa-miR-455-3p,hsa-miR-505-5p,hsa-miR-769-3p,hsa-miR-769-5p,hsa-miR-18a-3p,hsa-miR-504-5p,hsa-miR-324-3p,hsa-miR-331-3p,hsa-miR-186-5p,hsa-miR-125b-5p,hsa-miR-222-3p,hsa-miR-181b-5p,hsa-miR-31-5p,hsa-miR-25-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAP1L1,1.87E-09,0.00000142,0.388,33,hsa-miR-132-3p,hsa-miR-30a-5p,hsa-miR-877-3p,hsa-miR-30a-3p,hsa-miR-26b-5p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-513a-3p,hsa-miR-513c-3p,hsa-miR-30e-5p,hsa-miR-30d-5p,hsa-miR-30c-5p,hsa-miR-30b-5p,hsa-miR-555,hsa-miR-545-5p,hsa-miR-331-5p,hsa-miR-660-5p,hsa-miR-101-3p,hsa-miR-196b-5p,hsa-miR-196a-5p,hsa-miR-569,hsa-miR-655-5p,hsa-miR-582-5p,hsa-miR-202-3p,hsa-let-7i-5p,hsa-miR-98-5p,hsa-let-7f-5p,hsa-let-7g-5p,hsa-let-7b-5p,hsa-let-7c-5p,hsa-let-7d-5p,hsa-let-7e-5p,hsa-let-7a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAP1,2.36E-09,0.0000017,0.401,35,hsa-let-7b-5p,hsa-miR-630,hsa-miR-200a-3p,hsa-miR-26b-5p,hsa-miR-141-3p,hsa-miR-15a-5p,hsa-miR-16-5p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-877-5p,hsa-miR-548j-5p,hsa-miR-548k,hsa-miR-548l,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548y,hsa-miR-548o-5p,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548av-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-506-3p,hsa-miR-138-2-3p,hsa-miR-10a-3p,hsa-miR-509-3p,hsa-miR-27a-3p,hsa-miR-195-5p,hsa-miR-424-3p,hsa-miR-199a-3p,hsa-miR-138-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GGA3,2.58E-09,0.00000177,0.353,27,hsa-miR-196a-5p,hsa-miR-103a-3p,hsa-miR-26b-5p,hsa-miR-744-5p,hsa-miR-23a-3p,hsa-miR-222-5p,hsa-miR-214-5p,hsa-miR-98-5p,hsa-let-7i-5p,hsa-let-7g-5p,hsa-let-7f-5p,hsa-let-7e-5p,hsa-let-7d-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-let-7a-5p,hsa-miR-199b-3p,hsa-miR-199a-3p,hsa-miR-196b-5p,hsa-miR-451b,hsa-miR-302c-5p,hsa-miR-522-3p,hsa-miR-224-3p,hsa-miR-195-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAK1,2.80E-09,0.00000183,0.267,16,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-128-3p,hsa-miR-20a-5p,hsa-miR-23b-3p,hsa-miR-15b-5p,hsa-miR-9-5p,hsa-miR-107,hsa-miR-30e-5p,hsa-miR-30d-5p,hsa-miR-30c-5p,hsa-miR-30a-5p,hsa-miR-30b-5p,hsa-miR-519d-3p,hsa-miR-93-5p,hsa-miR-373-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
