Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57,microRNA 58,microRNA 59,microRNA 60,microRNA 61,microRNA 62,microRNA 63,microRNA 64,microRNA 65,microRNA 66,microRNA 67,microRNA 68,microRNA 69,microRNA 70,microRNA 71,microRNA 72,microRNA 73,microRNA 74,microRNA 75,microRNA 76,microRNA 77,microRNA 78,microRNA 79,microRNA 80,microRNA 81,microRNA 82,microRNA 83,microRNA 84,microRNA 85,microRNA 86,microRNA 87,microRNA 88,microRNA 89,microRNA 90,microRNA 91,microRNA 92,microRNA 93,microRNA 94,microRNA 95,microRNA 96,microRNA 97,microRNA 98,microRNA 99,microRNA 100,microRNA 101,microRNA 102,microRNA 103,microRNA 104,microRNA 105,microRNA 106,microRNA 107,microRNA 108,microRNA 109,microRNA 110,microRNA 111,microRNA 112,microRNA 113,microRNA 114
FXN,0.0289,0.132,0.753,37,hsa-miR-559,hsa-miR-589-5p,hsa-miR-620,hsa-miR-522-3p,hsa-miR-299-3p,hsa-miR-506-3p,hsa-miR-124-3p,hsa-miR-624-3p,hsa-miR-935,hsa-miR-100-5p,hsa-miR-369-3p,hsa-miR-545-5p,hsa-miR-202-3p,hsa-miR-98-5p,hsa-let-7i-5p,hsa-let-7g-5p,hsa-let-7f-5p,hsa-let-7e-5p,hsa-let-7d-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-let-7a-5p,hsa-miR-411-5p,hsa-miR-193b-5p,hsa-miR-500b-3p,hsa-miR-203b-3p,hsa-miR-764,hsa-miR-212-5p,hsa-miR-30d-3p,hsa-miR-30a-3p,hsa-miR-222-5p,hsa-miR-608,hsa-miR-342-5p,hsa-miR-199b-3p,hsa-miR-199a-3p,hsa-miR-145-5p,hsa-miR-650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAA1551,0.029,0.132,0.791,52,hsa-miR-335-5p,hsa-miR-21-5p,hsa-miR-23a-3p,hsa-miR-27a-3p,hsa-miR-181a-5p,hsa-miR-181b-5p,hsa-miR-27b-3p,hsa-miR-650,hsa-miR-193b-5p,hsa-miR-512-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-372-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-302a-3p,hsa-miR-93-5p,hsa-miR-519d-3p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-186-3p,hsa-miR-500b-3p,hsa-miR-520g-3p,hsa-miR-155-3p,hsa-miR-516b-3p,hsa-miR-516a-3p,hsa-miR-383-3p,hsa-miR-627-3p,hsa-miR-339-5p,hsa-miR-759,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-548aq-3p,hsa-miR-548am-3p,hsa-miR-548aj-3p,hsa-miR-585-3p,hsa-miR-365b-5p,hsa-miR-365a-5p,hsa-miR-532-3p,hsa-miR-764,hsa-miR-552-3p,hsa-miR-510-5p,hsa-miR-106a-3p,hsa-miR-149-3p,hsa-miR-25-5p,hsa-miR-30b-3p,hsa-miR-455-3p,hsa-miR-610,hsa-miR-661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFCAB14,0.0293,0.134,0.702,25,hsa-miR-590-3p,hsa-miR-106b-5p,hsa-miR-9-5p,hsa-miR-93-5p,hsa-let-7b-5p,hsa-miR-32-3p,hsa-miR-20a-5p,hsa-miR-340-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-548az-5p,hsa-miR-548n,hsa-miR-506-3p,hsa-miR-124-3p,hsa-miR-519d-3p,hsa-miR-17-5p,hsa-miR-26b-5p,hsa-miR-26a-5p,hsa-miR-676-5p,hsa-miR-520g-3p,hsa-miR-18b-5p,hsa-miR-548l,hsa-miR-181b-5p,hsa-miR-181a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGF2R,0.0293,0.134,0.702,25,hsa-miR-16-5p,hsa-miR-9-5p,hsa-miR-26b-5p,hsa-miR-128-3p,hsa-miR-211-5p,hsa-miR-545-5p,hsa-miR-96-3p,hsa-miR-548m,hsa-miR-24-3p,hsa-miR-564,hsa-miR-612,hsa-miR-383-3p,hsa-miR-342-3p,hsa-miR-561-5p,hsa-miR-649,hsa-miR-106a-3p,hsa-miR-454-3p,hsa-miR-301b-3p,hsa-miR-130a-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-455-3p,hsa-miR-650,hsa-miR-551b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM64,0.0293,0.134,0.702,25,hsa-miR-186-5p,hsa-miR-221-3p,hsa-miR-181a-5p,hsa-miR-605-5p,hsa-miR-331-3p,hsa-let-7a-5p,hsa-miR-106b-5p,hsa-miR-20a-5p,hsa-miR-323b-3p,hsa-miR-583,hsa-miR-17-5p,hsa-miR-93-5p,hsa-miR-519d-3p,hsa-miR-655-3p,hsa-miR-374c-5p,hsa-miR-494-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-548aq-3p,hsa-miR-548am-3p,hsa-miR-548aj-3p,hsa-miR-23a-3p,hsa-miR-23b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSM3,0.0294,0.134,0.684,22,hsa-miR-26b-5p,hsa-miR-128-3p,hsa-miR-196a-5p,hsa-miR-944,hsa-miR-7-5p,hsa-miR-520g-3p,hsa-miR-512-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-372-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-302a-3p,hsa-miR-93-5p,hsa-miR-519d-3p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-675-3p,hsa-miR-889-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVR,0.0294,0.134,0.684,22,hsa-miR-16-5p,hsa-let-7b-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-93-5p,hsa-miR-106b-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519d-3p,hsa-miR-519a-3p,hsa-miR-7-2-3p,hsa-miR-7-1-3p,hsa-miR-376c-5p,hsa-miR-376b-5p,hsa-miR-558,hsa-miR-514b-5p,hsa-miR-513c-5p,hsa-miR-346,hsa-miR-339-5p,hsa-miR-129-5p,hsa-miR-139-3p,hsa-miR-620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP11A,0.0295,0.134,0.585,12,hsa-miR-744-5p,hsa-miR-769-5p,hsa-miR-484,hsa-miR-197-3p,hsa-miR-92a-3p,hsa-miR-337-3p,hsa-miR-202-5p,hsa-miR-365b-5p,hsa-miR-365a-5p,hsa-miR-617,hsa-miR-770-5p,hsa-miR-211-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOXA11,0.0295,0.134,0.585,12,hsa-miR-335-5p,hsa-miR-769-3p,hsa-miR-484,hsa-miR-30d-5p,hsa-miR-211-3p,hsa-miR-190a-3p,hsa-miR-410-3p,hsa-miR-369-3p,hsa-miR-205-5p,hsa-miR-20a-3p,hsa-miR-448,hsa-miR-656-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLHDC8B,0.0295,0.134,0.585,12,hsa-miR-202-3p,hsa-let-7f-5p,hsa-let-7i-5p,hsa-let-7b-5p,hsa-miR-98-5p,hsa-let-7c-5p,hsa-let-7d-5p,hsa-let-7e-5p,hsa-let-7g-5p,hsa-let-7a-5p,hsa-miR-196b-5p,hsa-miR-196a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
