Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57
TM6SF1,3.27E-08,0.000384,0.269,19,hsa-miR-155-5p,hsa-miR-510-3p,hsa-miR-578,hsa-miR-494-3p,hsa-miR-590-3p,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548az-5p,hsa-miR-548n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMI1,0.000000329,0.000772,0.381,28,hsa-miR-302b-3p,hsa-miR-200b-3p,hsa-miR-194-5p,hsa-miR-494-3p,hsa-miR-300,hsa-miR-183-5p,hsa-miR-379-3p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548n,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-580-5p,hsa-miR-586,hsa-miR-452-5p,hsa-miR-548az-5p,hsa-miR-192-5p,hsa-miR-128-1-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCSAP,0.000000284,0.000772,0.328,22,hsa-miR-335-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-520a-5p,hsa-miR-525-5p,hsa-miR-340-5p,hsa-miR-541-3p,hsa-miR-608,hsa-miR-142-5p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-510-3p,hsa-miR-616-3p,hsa-miR-508-3p,hsa-miR-513b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPZL1,0.000000137,0.000772,0.308,21,hsa-miR-155-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-766-3p,hsa-miR-545-5p,hsa-miR-559,hsa-miR-587,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548j-3p,hsa-miR-548n,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548x-3p,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPAG9,0.000000233,0.000772,0.284,18,hsa-miR-335-5p,hsa-miR-9-5p,hsa-miR-122-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-877-3p,hsa-miR-578,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-581,hsa-miR-323b-3p,hsa-miR-95-5p,hsa-miR-381-3p,hsa-miR-300,hsa-miR-200a-3p,hsa-miR-141-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SATB1,0.000000466,0.00091,0.316,20,hsa-miR-448,hsa-miR-548b-3p,hsa-miR-335-5p,hsa-miR-296-3p,hsa-miR-567,hsa-miR-297,hsa-miR-557,hsa-miR-507,hsa-miR-450b-5p,hsa-miR-588,hsa-miR-153-3p,hsa-miR-759,hsa-miR-374c-5p,hsa-miR-655-3p,hsa-miR-574-5p,hsa-miR-302c-5p,hsa-miR-644a,hsa-miR-223-5p,hsa-miR-581,hsa-miR-511-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMD3-BMI1,0.000000958,0.00149,0.317,19,hsa-miR-379-3p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548n,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-580-5p,hsa-miR-586,hsa-miR-548az-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREBRF,0.00000115,0.00149,0.501,45,hsa-miR-155-5p,hsa-miR-335-5p,hsa-let-7a-3p,hsa-let-7b-3p,hsa-let-7f-1-3p,hsa-miR-98-3p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-373-3p,hsa-miR-424-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-520c-3p,hsa-miR-520d-3p,hsa-miR-519a-3p,hsa-miR-374b-3p,hsa-miR-302e,hsa-miR-758-5p,hsa-miR-369-3p,hsa-miR-142-5p,hsa-miR-329-5p,hsa-miR-503-5p,hsa-miR-646,hsa-miR-655-3p,hsa-miR-374c-5p,hsa-let-7c-3p,hsa-miR-340-5p,hsa-miR-190a-3p,hsa-miR-641,hsa-miR-506-3p,hsa-miR-9-3p,hsa-miR-100-3p,hsa-miR-410-5p,hsa-miR-323b-5p,hsa-miR-381-3p,hsa-miR-300,hsa-miR-588,hsa-miR-155-3p,hsa-miR-522-3p,hsa-miR-376a-2-5p,hsa-miR-577,hsa-miR-223-5p,hsa-miR-574-5p,hsa-miR-136-3p,hsa-miR-449b-3p,,,,,,,,,,,,
PARP15,0.00000102,0.00149,0.447,35,hsa-miR-335-5p,hsa-miR-557,hsa-miR-507,hsa-miR-450b-5p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-106a-3p,hsa-miR-491-3p,hsa-miR-514b-5p,hsa-miR-513c-5p,hsa-miR-616-5p,hsa-miR-641,hsa-miR-135b-3p,hsa-miR-369-3p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548e-3p,hsa-miR-548ar-3p,hsa-miR-887-3p,hsa-miR-653-3p,hsa-miR-452-3p,hsa-miR-889-3p,hsa-miR-664b-5p,hsa-miR-888-5p,,,,,,,,,,,,,,,,,,,,,,
TRIM37,0.00000127,0.00149,0.396,27,hsa-miR-769-3p,hsa-miR-183-5p,hsa-miR-937-5p,hsa-miR-545-3p,hsa-miR-451b,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-7-2-3p,hsa-miR-7-1-3p,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548az-5p,hsa-miR-548n,hsa-miR-519d-3p,hsa-miR-454-3p,hsa-miR-622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKLN1,0.00000161,0.00171,0.442,33,hsa-miR-144-3p,hsa-miR-376c-5p,hsa-miR-376b-5p,hsa-miR-513a-5p,hsa-miR-651-3p,hsa-miR-142-5p,hsa-miR-511-3p,hsa-miR-297,hsa-miR-155-5p,hsa-miR-223-5p,hsa-miR-567,hsa-miR-340-5p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548b-5p,hsa-miR-548bb-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-744-3p,hsa-miR-122-5p,hsa-miR-367-5p,hsa-miR-106a-3p,hsa-miR-374b-3p,hsa-miR-539-3p,hsa-miR-889-3p,hsa-miR-575,,,,,,,,,,,,,,,,,,,,,,,,
GRM5,0.00000176,0.00172,0.291,16,hsa-miR-335-5p,hsa-miR-510-3p,hsa-miR-513b-5p,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRRC1,0.00000282,0.00254,0.346,20,hsa-miR-192-5p,hsa-miR-522-3p,hsa-miR-548n,hsa-miR-183-5p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-155-5p,hsa-miR-578,hsa-miR-379-5p,hsa-miR-643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBXW7,0.00000347,0.00284,0.379,23,hsa-miR-590-3p,hsa-miR-503-5p,hsa-miR-510-3p,hsa-miR-548ba,hsa-miR-548ag,hsa-miR-664b-3p,hsa-miR-190a-3p,hsa-miR-579-3p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-379-3p,hsa-miR-656-3p,hsa-miR-32-5p,hsa-miR-384,hsa-miR-363-3p,hsa-miR-182-3p,hsa-miR-155-3p,hsa-miR-155-5p,hsa-miR-223-5p,hsa-miR-144-3p,hsa-miR-296-3p,hsa-miR-588,hsa-miR-92a-1-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAS3,0.00000363,0.00284,0.291,15,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-514b-3p,hsa-miR-514a-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NECTIN3,0.00000417,0.00288,0.279,14,hsa-miR-100-3p,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDH11,0.00000397,0.00288,0.476,36,hsa-miR-590-3p,hsa-miR-183-5p,hsa-miR-588,hsa-miR-411-5p,hsa-miR-203b-3p,hsa-miR-888-3p,hsa-miR-606,hsa-miR-337-3p,hsa-miR-95-5p,hsa-miR-454-3p,hsa-miR-32-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-576-5p,hsa-miR-591,hsa-miR-29b-1-5p,hsa-miR-194-5p,hsa-miR-378b,hsa-miR-378c,hsa-miR-378d,hsa-miR-378f,hsa-miR-378h,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548b-5p,hsa-miR-548bb-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-559,hsa-miR-802,,,,,,,,,,,,,,,,,,,,,
NDFIP2,0.00000455,0.00296,0.266,13,hsa-miR-7-5p,hsa-miR-192-5p,hsa-miR-760,hsa-miR-31-5p,hsa-miR-190a-3p,hsa-miR-511-3p,hsa-miR-514b-3p,hsa-miR-514a-3p,hsa-miR-664b-3p,hsa-miR-579-3p,hsa-miR-574-5p,hsa-miR-576-5p,hsa-miR-223-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATNAL1,0.00000642,0.00348,0.473,34,hsa-miR-122-5p,hsa-miR-192-5p,hsa-miR-548h-5p,hsa-miR-511-3p,hsa-miR-591,hsa-miR-100-3p,hsa-miR-548e-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548az-5p,hsa-miR-548n,hsa-miR-519d-3p,hsa-miR-297,hsa-miR-567,hsa-miR-759,hsa-miR-574-5p,hsa-miR-223-5p,hsa-miR-648,hsa-miR-377-5p,hsa-miR-568,hsa-miR-656-3p,,,,,,,,,,,,,,,,,,,,,,,
MAP2K1,0.00000665,0.00348,0.373,21,hsa-miR-424-5p,hsa-miR-142-5p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548k,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-451b,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-624-5p,hsa-miR-494-3p,hsa-miR-448,hsa-miR-211-5p,hsa-miR-889-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBNL1,0.00000679,0.00348,0.492,37,hsa-miR-576-5p,hsa-miR-590-3p,hsa-miR-513c-3p,hsa-miR-491-3p,hsa-let-7f-2-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-454-3p,hsa-miR-552-5p,hsa-miR-335-5p,hsa-miR-335-3p,hsa-miR-144-3p,hsa-miR-508-3p,hsa-miR-628-5p,hsa-miR-302b-3p,hsa-miR-520d-3p,hsa-miR-302d-3p,hsa-miR-302e,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-188-5p,hsa-miR-211-5p,hsa-miR-670-3p,hsa-miR-374b-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-877-3p,hsa-miR-381-3p,hsa-miR-300,hsa-miR-135b-5p,hsa-miR-135a-5p,hsa-miR-580-3p,hsa-miR-433-3p,hsa-miR-500a-5p,,,,,,,,,,,,,,,,,,,,
PLCG1,0.00000683,0.00348,0.383,22,hsa-miR-744-3p,hsa-miR-573,hsa-miR-516b-5p,hsa-miR-302d-5p,hsa-miR-302b-5p,hsa-miR-513c-3p,hsa-miR-552-5p,hsa-miR-302c-5p,hsa-miR-369-3p,hsa-miR-200b-3p,hsa-miR-429,hsa-miR-335-3p,hsa-miR-670-3p,hsa-miR-211-5p,hsa-miR-188-5p,hsa-miR-103a-2-5p,hsa-miR-155-3p,hsa-miR-384,hsa-miR-509-3-5p,hsa-miR-509-5p,hsa-miR-520a-5p,hsa-miR-525-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USP53,0.00000665,0.00348,0.373,21,hsa-miR-186-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-876-3p,hsa-miR-374b-3p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-545-3p,hsa-miR-646,hsa-miR-503-5p,hsa-miR-424-5p,hsa-miR-141-3p,hsa-miR-200a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMBOX1,0.00000726,0.00355,0.435,28,hsa-miR-30c-1-3p,hsa-miR-335-5p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-373-3p,hsa-miR-520c-3p,hsa-miR-519d-3p,hsa-miR-520d-3p,hsa-miR-302e,hsa-miR-548az-5p,hsa-miR-802,hsa-miR-7-2-3p,hsa-miR-7-1-3p,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548n,hsa-miR-670-3p,hsa-miR-616-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC35A5,0.00000789,0.0037,0.226,10,hsa-miR-7-5p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-381-3p,hsa-miR-300,hsa-miR-802,hsa-miR-558,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGPD4,0.00000854,0.00385,0.356,19,hsa-miR-335-5p,hsa-miR-142-5p,hsa-miR-340-5p,hsa-miR-513a-5p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-548k,hsa-miR-548x-3p,hsa-miR-548j-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM114A1,0.0000105,0.0041,0.311,15,hsa-miR-335-5p,hsa-miR-335-3p,hsa-miR-7-5p,hsa-miR-490-5p,hsa-miR-106a-3p,hsa-miR-454-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPMK,0.00000961,0.0041,0.39,22,hsa-miR-335-5p,hsa-miR-339-5p,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-583,hsa-miR-548g-3p,hsa-miR-548n,hsa-miR-921,hsa-miR-454-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDFIC,0.0000101,0.0041,0.336,17,hsa-miR-132-3p,hsa-miR-376a-2-5p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-487b-5p,hsa-miR-487a-5p,hsa-miR-548k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANX1,0.0000105,0.0041,0.311,15,hsa-miR-192-5p,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548az-5p,hsa-miR-548n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBS10,0.0000126,0.0046,0.364,19,hsa-miR-340-5p,hsa-miR-587,hsa-miR-889-3p,hsa-miR-517-5p,hsa-miR-32-3p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-142-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMADHC,0.000013,0.0046,0.301,14,hsa-miR-448,hsa-miR-190a-3p,hsa-miR-633,hsa-miR-95-5p,hsa-miR-577,hsa-miR-574-5p,hsa-miR-297,hsa-miR-223-5p,hsa-miR-567,hsa-miR-511-3p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-379-3p,hsa-miR-586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2RY1,0.000013,0.0046,0.301,14,hsa-miR-19a-5p,hsa-miR-19b-2-5p,hsa-miR-548an,hsa-miR-876-5p,hsa-miR-95-5p,hsa-miR-329-5p,hsa-miR-624-3p,hsa-miR-557,hsa-miR-507,hsa-miR-450b-5p,hsa-miR-448,hsa-miR-153-3p,hsa-miR-600,hsa-miR-641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLF7,0.0000136,0.00467,0.44,27,hsa-miR-335-5p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-190a-3p,hsa-miR-410-3p,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-186-3p,hsa-miR-557,hsa-miR-507,hsa-miR-450b-5p,hsa-miR-19b-2-5p,hsa-miR-19a-5p,hsa-miR-501-5p,hsa-let-7a-2-3p,hsa-miR-511-3p,hsa-miR-574-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARL13B,0.0000171,0.00512,0.359,18,hsa-miR-132-3p,hsa-miR-944,hsa-miR-548ax,hsa-miR-548ao-5p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREB1,0.000018,0.00512,0.488,33,hsa-miR-34b-5p,hsa-miR-200b-3p,hsa-miR-122-5p,hsa-miR-9-5p,hsa-miR-433-3p,hsa-miR-513c-3p,hsa-miR-519d-3p,hsa-miR-578,hsa-miR-190a-3p,hsa-miR-656-3p,hsa-miR-297,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-376a-5p,hsa-miR-567,hsa-miR-381-3p,hsa-miR-300,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-576-5p,hsa-miR-664b-3p,hsa-miR-579-3p,hsa-miR-205-5p,hsa-miR-548e-5p,hsa-miR-582-5p,hsa-miR-363-3p,,,,,,,,,,,,,,,,,,,,,,,,
EFNA5,0.0000184,0.00512,0.403,22,hsa-miR-335-5p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-142-5p,hsa-miR-496,hsa-miR-576-5p,hsa-miR-454-5p,hsa-miR-501-5p,hsa-miR-500b-5p,hsa-miR-362-5p,hsa-miR-10a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETNK1,0.0000185,0.00512,0.462,29,hsa-miR-142-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548k,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-513c-3p,hsa-miR-205-5p,hsa-miR-499b-3p,hsa-miR-222-5p,hsa-miR-556-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-369-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLRC3,0.0000155,0.00512,0.345,17,hsa-miR-335-5p,hsa-miR-369-3p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548e-3p,hsa-miR-548ar-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRP2BP,0.0000182,0.00512,0.241,10,hsa-miR-889-3p,hsa-miR-501-5p,hsa-miR-449b-3p,hsa-miR-340-5p,hsa-miR-122-5p,hsa-miR-223-5p,hsa-miR-297,hsa-miR-511-3p,hsa-miR-567,hsa-miR-574-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POU2F1,0.0000188,0.00512,0.537,42,hsa-miR-9-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-519e-3p,hsa-miR-33b-3p,hsa-miR-346,hsa-miR-569,hsa-miR-513b-3p,hsa-miR-548az-5p,hsa-miR-190a-3p,hsa-let-7a-2-3p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-373-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-520c-3p,hsa-miR-520d-3p,hsa-miR-519a-3p,hsa-miR-302e,hsa-miR-100-3p,hsa-miR-583,hsa-miR-450a-1-3p,hsa-miR-605-5p,hsa-miR-144-5p,hsa-miR-18a-3p,hsa-miR-889-3p,hsa-miR-410-3p,hsa-miR-144-3p,hsa-miR-644a,hsa-miR-211-5p,hsa-miR-302d-5p,hsa-miR-302b-5p,hsa-miR-141-5p,hsa-miR-502-5p,hsa-miR-938,hsa-miR-384,hsa-miR-627-3p,hsa-miR-487a-5p,hsa-miR-487b-5p,hsa-miR-519e-5p,hsa-miR-590-3p,,,,,,,,,,,,,,,
