Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57,microRNA 58,microRNA 59,microRNA 60,microRNA 61,microRNA 62,microRNA 63,microRNA 64,microRNA 65,microRNA 66,microRNA 67,microRNA 68,microRNA 69,microRNA 70,microRNA 71,microRNA 72,microRNA 73,microRNA 74,microRNA 75,microRNA 76,microRNA 77,microRNA 78,microRNA 79,microRNA 80,microRNA 81,microRNA 82,microRNA 83,microRNA 84,microRNA 85,microRNA 86,microRNA 87,microRNA 88,microRNA 89,microRNA 90,microRNA 91,microRNA 92,microRNA 93,microRNA 94,microRNA 95,microRNA 96,microRNA 97,microRNA 98,microRNA 99,microRNA 100,microRNA 101,microRNA 102,microRNA 103,microRNA 104,microRNA 105,microRNA 106,microRNA 107,microRNA 108,microRNA 109,microRNA 110,microRNA 111,microRNA 112,microRNA 113,microRNA 114,microRNA 115,microRNA 116,microRNA 117
SUGP1,0.000232,0.00421,0.497,22,hsa-miR-1-3p,hsa-miR-92a-3p,hsa-miR-372-5p,hsa-miR-616-5p,hsa-miR-373-5p,hsa-miR-371b-5p,hsa-miR-212-5p,hsa-miR-512-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-372-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-302a-3p,hsa-miR-93-5p,hsa-miR-20b-5p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-106a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCOR,0.000245,0.00441,0.424,15,hsa-miR-425-5p,hsa-miR-215-5p,hsa-miR-598-3p,hsa-miR-346,hsa-miR-328-3p,hsa-miR-191-5p,hsa-miR-125b-5p,hsa-let-7f-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-let-7a-5p,hsa-miR-340-5p,hsa-miR-410-3p,hsa-miR-335-3p,hsa-miR-190a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM89A,0.000245,0.00441,0.537,27,hsa-miR-425-5p,hsa-miR-128-3p,hsa-miR-124-3p,hsa-miR-103a-3p,hsa-miR-16-5p,hsa-miR-150-5p,hsa-miR-186-3p,hsa-miR-512-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-372-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-302a-3p,hsa-miR-93-5p,hsa-miR-20b-5p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-106a-5p,hsa-miR-335-3p,hsa-miR-22-5p,hsa-miR-124-5p,hsa-miR-421,hsa-miR-505-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP16,0.000245,0.00441,0.424,15,hsa-miR-124-3p,hsa-miR-590-3p,hsa-miR-193b-3p,hsa-miR-215-5p,hsa-miR-202-3p,hsa-miR-98-5p,hsa-let-7i-5p,hsa-let-7g-5p,hsa-let-7f-5p,hsa-let-7e-5p,hsa-let-7d-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-let-7a-5p,hsa-miR-506-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL9,0.000245,0.00441,0.424,15,hsa-miR-16-5p,hsa-miR-505-3p,hsa-miR-193b-3p,hsa-miR-186-5p,hsa-miR-125a-5p,hsa-miR-93-5p,hsa-miR-18a-5p,hsa-let-7a-5p,hsa-miR-513b-5p,hsa-miR-125b-2-3p,hsa-miR-92b-3p,hsa-miR-92a-3p,hsa-miR-367-3p,hsa-miR-32-5p,hsa-miR-25-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACS,0.000245,0.00441,0.424,15,hsa-miR-98-5p,hsa-miR-26b-5p,hsa-miR-424-5p,hsa-miR-20a-5p,hsa-miR-106b-5p,hsa-miR-26a-5p,hsa-miR-216b-3p,hsa-miR-30e-5p,hsa-miR-30d-5p,hsa-miR-30c-5p,hsa-miR-30b-5p,hsa-miR-30a-5p,hsa-miR-93-5p,hsa-miR-20b-5p,hsa-miR-17-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3,0.000247,0.00445,0.449,17,hsa-miR-148b-3p,hsa-miR-106b-5p,hsa-miR-21-5p,hsa-miR-877-5p,hsa-miR-124-3p,hsa-miR-513b-5p,hsa-miR-205-5p,hsa-miR-759,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-93-5p,hsa-miR-106a-5p,hsa-miR-20b-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-27b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHSA1,0.000266,0.00453,0.254,6,hsa-miR-214-3p,hsa-miR-503-5p,hsa-miR-193b-3p,hsa-miR-99b-5p,hsa-miR-222-3p,hsa-miR-196a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALG2,0.000266,0.00453,0.254,6,hsa-miR-124-3p,hsa-miR-1-3p,hsa-miR-103a-3p,hsa-miR-19b-3p,hsa-miR-16-5p,hsa-miR-19a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMC8,0.000266,0.00453,0.254,6,hsa-miR-26b-5p,hsa-let-7a-3p,hsa-let-7f-5p,hsa-let-7c-5p,hsa-miR-19b-3p,hsa-miR-19a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
