T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC
SERPING1,4.137565481,0.00043118,0.002089671,1.678678228,3.365340905,0.747325718
TCIRG1,4.140318613,0.000428292,0.002082198,1.585891019,3.368260406,0.665293634
C1S,4.147185995,0.000421169,0.002054032,1.664743337,3.375543089,0.735299766
JCHAIN,4.149784202,0.000418506,0.0020475,1.661675687,3.378298534,0.732638836
HSP90B1,-4.152812194,0.000415423,0.002038868,0.534710625,3.38150985,-0.903169751
LYZ,4.15360317,0.000414621,0.002038868,1.525426026,3.382348727,0.60921222
ERLIN2,-4.162500664,0.000405709,0.002003917,0.150424731,3.391785419,-2.732886314
ATP1A2,-4.162732408,0.000405479,0.002003917,0.378866187,3.392031217,-1.400239706
RNPEP,4.166670142,0.000401599,0.001996371,3.193146211,3.3962078,1.674978614
SOD3,-4.172517913,0.000395904,0.00197441,0.533431097,3.402410505,-0.906626165
CP,4.177345449,0.000391263,0.001957581,1.651004063,3.407531252,0.72334367
CDH2,-4.179709193,0.000389011,0.001952631,0.182484911,3.410038626,-2.454150915
FBP1,4.182002421,0.000386838,0.001948049,3.374666666,3.41247124,1.754745007
TOR1AIP2,-4.182995498,0.0003859,0.001948049,0.373200164,3.413524689,-1.421978474
LHFPL2,-4.196873239,0.000373038,0.001890875,0.646274081,3.428246813,-0.629781961
TRIM47,4.198804076,0.000371283,0.001888168,3.051469611,3.430295233,1.609504223
SLC4A1,4.206472939,0.000364392,0.00185924,2.352962738,3.438431335,1.234478474
TIMP3,4.210383455,0.000360927,0.001847661,3.297551371,3.442580243,1.721395135
RBP4,4.219412172,0.000353053,0.001813357,2.131294209,3.452159693,1.09172976
PARK7,-4.223108126,0.00034988,0.001803047,0.60751002,3.456081219,-0.71901989
FKBP9,-4.232716673,0.000341762,0.001767103,0.466032383,3.466276511,-1.101497889
CAVIN1,-4.244876986,0.000331757,0.001721128,0.540514148,3.479179993,-0.887595713
GNB1,-4.248031122,0.00032921,0.001713665,0.662529383,3.48252699,-0.593943655
CDIPT,-4.248472319,0.000328855,0.001713665,0.231595855,3.482995167,-2.110318661
NPL,-4.250985023,0.000326842,0.001712876,0.336046527,3.485661543,-1.573267102
NAMPT,4.252276427,0.000325813,0.001712876,3.009578282,3.487031936,1.589561343
SUN2,-4.26746516,0.000313942,0.001656501,0.247139862,3.503150105,-2.01660037
VCL,-4.270626441,0.000311527,0.001649384,0.586592408,3.506504919,-0.769569695
ATP5MK,-4.279323922,0.000304976,0.001620248,0.328931102,3.515734991,-1.604142666
APOC4,4.287568088,0.000298893,0.001593409,3.42260572,3.524484144,1.775095105
C8G,4.287673518,0.000298816,0.001593409,1.815717021,3.524596033,0.860539377
CD58,-4.300112923,0.000289869,0.001556035,0.410211575,3.537797622,-1.285559893
TMX3,-4.316854015,0.00027825,0.001498866,0.227074975,3.555564741,-2.138759375
MYL12B,-4.31963987,0.000276362,0.001493902,0.579135928,3.55852135,-0.788026094
APP,-4.354276929,0.000253933,0.001377474,0.311015055,3.595281241,-1.684943676
C8A,4.358461902,0.000251349,0.00136826,1.900464824,3.599722623,0.926352322
PROS1,4.359446612,0.000250745,0.00136826,2.648291994,3.600767662,1.405062199
TPBG,-4.36376045,0.000248116,0.001360237,0.424679466,3.605345766,-1.235553741
CAPG,4.366116812,0.000246691,0.00135724,4.516241078,3.607846464,2.175122499
PRNP,-4.371448324,0.000243498,0.001344457,0.387971503,3.61350451,-1.365977407
GNB2,-4.38208268,0.000237252,0.001314666,0.664390871,3.624789977,-0.589895844
GOLIM4,-4.383151534,0.000236633,0.001314666,0.45602611,3.625924258,-1.132811666
EGFR,-4.385748684,0.000235136,0.001312349,0.370931904,3.62868037,-1.430773735
LDHC,4.390153847,0.000232619,0.001303003,1.828674032,3.633355112,0.870797932
C6,4.39408268,0.000230396,0.001295247,1.954447718,3.637524322,0.966760993
KIRREL1,-4.40167573,0.000226161,0.001276078,0.335946246,3.64558179,-1.573697686
SELENOM,-4.402783815,0.00022555,0.001276078,0.303077012,3.646757631,-1.722243667
ITGA3,-4.408515672,0.000222413,0.001264156,0.548241494,3.652839904,-0.86711657
TNS2,-4.411321258,0.000220894,0.001260153,0.256629652,3.655816962,-1.962240219
HP,4.413913406,0.000219499,0.001256835,2.253822671,3.658567507,1.17237401
MNDA,4.416215506,0.000218268,0.001254432,3.990117831,3.661010256,1.996431351
VSIG4,4.421851661,0.000215283,0.001241893,2.834514144,3.66699066,1.503101468
CEMIP,4.426358316,0.000212925,0.001232894,5.893439777,3.67177247,2.559109926
GPX4,4.451499942,0.000200241,0.001163806,2.681844376,3.698447211,1.423225522
A1BG,4.451848733,0.00020007,0.001163806,1.472928185,3.698817246,0.558687091
PSMA3,4.452487183,0.000199759,0.001163806,1.55396925,3.69949458,0.635957956
AEBP1,-4.458680285,0.000196759,0.001156615,0.410923933,3.706064743,-1.283056736
CSTB,4.465844052,0.000193346,0.00114089,1.720820707,3.713664366,0.78309679
SEPTIN6,4.494885002,0.000180107,0.001066843,4.679752025,3.744468573,2.226432085
MXRA7,-4.496181118,0.000179538,0.001066843,0.309962409,3.745843237,-1.689834833
NCLN,-4.50045097,0.000177676,0.001064677,0.478215317,3.750371758,-1.064267755
WFS1,-4.50534322,0.000175566,0.001056127,0.200508265,3.7555602,-2.318266392
KCNAB2,4.509921849,0.000173614,0.001048464,4.137187276,3.760415852,2.048650265
BCAP31,-4.511361472,0.000173005,0.001048464,0.602418752,3.76194254,-0.731161416
DDR2,-4.511804832,0.000172817,0.001048464,0.394803093,3.76241271,-1.340794802
LBP,4.519648545,0.000169539,0.001035997,3.324550526,3.770730446,1.733159304
CD53,4.524969541,0.000167351,0.001026683,3.325296437,3.776372695,1.733482957
PRDX4,-4.527944013,0.00016614,0.001023315,0.674044234,3.779526636,-0.569084823
HSPB1,-4.538862517,0.00016177,0.001000383,0.537345426,3.79110321,-0.896078289
AZU1,4.559793484,0.000153712,0.000954372,3.470575601,3.813292394,1.795174956
LGALS9,4.559913549,0.000153667,0.000954372,3.487838491,3.813419663,1.802333236
CAMP,4.569448929,0.000150132,0.000939693,2.239389882,3.823526699,1.163105726
TMEM87A,-4.57397477,0.000148483,0.000933149,0.254717297,3.828323518,-1.973031163
SEC61B,-4.582658286,0.00014537,0.000917312,0.204867301,3.837526297,-2.287238359
CACNA2D2,-4.58852538,0.000143303,0.000907979,0.437211688,3.84374374,-1.193596125
QSOX1,4.595119863,0.000141016,0.000897164,2.640873219,3.850731519,1.401015043
SCPEP1,4.609024624,0.000136313,0.000870824,2.487254433,3.865463815,1.314554095
SERPINA6,4.612005093,0.000135325,0.000868103,2.612361441,3.868621349,1.385354519
HSPA7,4.612315586,0.000135223,0.000868103,2.347865988,3.868950281,1.231350064
FSCN1,4.618284613,0.000133268,0.000862061,3.253088882,3.875273551,1.701810241
TALDO1,4.639089063,0.000126675,0.000822855,1.835897364,3.897308971,0.876485407
SERPINF2,4.639822533,0.000126449,0.000822855,3.175527974,3.898085731,1.666996479
EPB42,4.640223061,0.000126325,0.000822855,2.945377855,3.898509896,1.558452725
IGHV2-70D,4.641621872,0.000125895,0.000822855,2.736396298,3.899991238,1.452277184
APOE,4.6636084,0.000119324,0.000788356,1.847143547,3.923271312,0.885295987
LGALS1,-4.672727891,0.000116701,0.000774334,0.593321887,3.932925245,-0.753113091
LYPLA1,4.677649723,0.000115309,0.000768399,3.058974997,3.938134991,1.613048315
ITGB5,-4.682321029,0.000114004,0.000762989,0.50346968,3.943079211,-0.990023196
PTGFRN,4.688939874,0.00011218,0.000754045,1.789311594,3.950084166,0.839404643
RRAS,-4.7018669,0.000108702,0.000733856,0.496540958,3.96376327,-1.010015368
THBS1,4.702277328,0.000108593,0.000733856,2.539403155,3.964197532,1.344489455
TTR,4.713048031,0.000105781,0.000720429,2.443005832,3.975592699,1.288657308
GNA11,-4.714511885,0.000105404,0.000720429,0.437062764,3.977141274,-1.194087625
C7,4.717257191,0.000104702,0.000719419,2.007524653,3.980045369,1.005417705
ITGA11,-4.723687546,0.000103075,0.000711401,0.407675143,3.986847155,-1.2945081
ALB,4.730807355,0.000101303,0.000702307,1.806323897,3.994377388,0.85305661
ORM2,4.732422969,0.000100905,0.000702307,2.119919918,3.996086011,1.084009767
SERPINA4,4.734749197,0.000100335,0.000701893,2.976360977,3.998546078,1.573549509
SUN1,-4.747557137,9.73E-05,0.000683436,0.255452081,4.012089196,-1.968875408
ADIPOQ,-4.748437478,9.70E-05,0.000683436,0.528173426,4.013019961,-0.920916378
APOD,4.759744213,9.44E-05,0.000669545,2.538213699,4.024973053,1.343813539
CFH,4.765079541,9.32E-05,0.000663953,2.517312813,4.030612558,1.331884503
ALDH1B1,-4.766681986,9.28E-05,0.000663953,0.20377016,4.032306257,-2.294985294
ATP1B1,-4.769203615,9.23E-05,0.000663437,0.657474115,4.034971387,-0.604993999
PBXIP1,-4.782868522,8.92E-05,0.000644739,0.207538314,4.049411828,-2.268550396
RCN3,-4.783272927,8.92E-05,0.000644739,0.280218682,4.04983913,-1.835374951
CTSH,4.786612136,8.84E-05,0.000644739,3.224770714,4.053367278,1.689196587
AQP1,-4.793392841,8.70E-05,0.000637377,0.425935475,4.060530975,-1.231293201
MAOA,-4.793766019,8.69E-05,0.000637377,0.362514388,4.060925205,-1.463889837
ORM1,4.808741682,8.38E-05,0.000619897,2.202084579,4.07674338,1.138869882
GYG1,-4.812959221,8.29E-05,0.000616522,0.237537837,4.081197373,-2.073770761
PLD3,4.817052153,8.21E-05,0.000613366,2.042430051,4.085519426,1.03028667
TF,4.820004597,8.15E-05,0.000611935,1.833803666,4.088636931,0.874839187
CDH11,-4.856331191,7.46E-05,0.000562958,0.477883351,4.126979345,-1.065269589
KCNMA1,-4.85637341,7.46E-05,0.000562958,0.371369076,4.12702389,-1.429074407
ITFG1,-4.860873746,7.38E-05,0.000562266,0.232879913,4.131771963,-2.10234189
B4GALT1,4.869480584,7.23E-05,0.000553359,2.865203121,4.140851343,1.518637419
CTSB,4.875050823,7.13E-05,0.000548639,2.322947724,4.146726518,1.215956688
SLC2A5,4.880695452,7.04E-05,0.000543876,6.121754737,4.152679439,2.613945246
PSMA7,4.88192945,7.01E-05,0.000543876,1.736691616,4.153980737,0.796341598
ERLEC1,-4.882853788,7.00E-05,0.000543876,0.156673396,4.154955463,-2.674167871
TMED4,-4.894080007,6.81E-05,0.000534504,0.414355017,4.166792093,-1.271060705
SLC22A3,-4.898205911,6.74E-05,0.000531878,0.248324541,4.171141602,-2.009701252
HPR,4.911251409,6.53E-05,0.000517945,4.663245739,4.184891467,2.221334457
LPAR1,-4.917391736,6.44E-05,0.000512916,0.34198872,4.191361928,-1.547979355
BCAT1,4.928585422,6.26E-05,0.000501761,2.697246178,4.203155098,1.431487203
AGT,4.944734265,6.02E-05,0.000487543,4.464262173,4.22016339,2.158421755
ITIH1,4.9488594,5.96E-05,0.000485231,2.223147799,4.224507027,1.152603865
IGHA1,4.94917159,5.96E-05,0.000485231,2.495751374,4.224835736,1.31947422
VASN,-4.962841559,5.76E-05,0.000474051,0.322567324,4.239226608,-1.632327795
LMNA,-4.965052361,5.73E-05,0.000474039,0.590329903,4.241553552,-0.760406673
GJA1,-4.965258218,5.73E-05,0.000474039,0.356831903,4.241770217,-1.486683488
LEMD2,-4.975563893,5.59E-05,0.000467113,0.22854228,4.252615579,-2.12946701
CSPG4,-4.97588046,5.59E-05,0.000467113,0.300516312,4.25294868,-1.734484792
TMED7,-4.98514583,5.46E-05,0.000461383,0.498330618,4.262696826,-1.004824877
ATP1A1,-4.998444878,5.29E-05,0.000449214,0.559732156,4.276684879,-0.837191463
CD9,-5.009149598,5.15E-05,0.000440139,0.689732316,4.28794077,-0.535891533
EPDR1,-5.02315294,4.98E-05,0.000427835,0.358659558,4.302660441,-1.479313016
AHSG,5.054458182,4.62E-05,0.000398849,2.2140243,4.335547477,1.146671057
THEM6,-5.059982829,4.56E-05,0.000395768,0.398953713,4.34134841,-1.32570672
CANX,-5.068945315,4.46E-05,0.000389474,0.404077343,4.350757249,-1.307296634
EIF4A1,5.077970208,4.36E-05,0.000383237,2.675595908,4.360229263,1.419860244
GNAI1,-5.082633972,4.31E-05,0.000381108,0.216860133,4.365123155,-2.20516324
HSD17B12,-5.093692369,4.20E-05,0.000373195,0.216759021,4.37672467,-2.205836058
MYH10,-5.095337122,4.18E-05,0.000373195,0.442696812,4.378449895,-1.175609112
CALHM5,-5.09543649,4.18E-05,0.000373195,0.325414883,4.378554122,-1.619647861
S100A9,5.100288079,4.13E-05,0.000373195,4.479364529,4.3836426,2.163294077
GNG12,-5.119611678,3.95E-05,0.000358804,0.453404915,4.403902728,-1.141128063
RTN3,-5.125810476,3.89E-05,0.000355568,0.541450279,4.410399566,-0.885099232
CYP4X1,-5.159913448,3.58E-05,0.000329442,0.221498214,4.446121077,-2.174633026
TMEM43,-5.160045288,3.58E-05,0.000329442,0.253379109,4.446259104,-1.980630517
SERPINB6,-5.166063164,3.53E-05,0.000328505,0.56066613,4.452558798,-0.834786177
IGHV4-34,5.171609913,3.48E-05,0.000326108,2.409111294,4.458364289,1.268501043
PGRMC1,-5.180522386,3.41E-05,0.000321126,0.211916045,4.467690457,-2.238435268
JAM3,-5.19340935,3.30E-05,0.000313221,0.324602188,4.481171097,-1.623255372
TNFSF13,5.195684663,3.28E-05,0.000313221,2.796393905,4.483550672,1.483567595
PGD,5.203307266,3.22E-05,0.000309644,5.270827823,4.491521342,2.398029566
CALU,-5.205729553,3.21E-05,0.000309644,0.4489921,4.49405384,-1.155238032
PRDX2,5.232812338,3.00E-05,0.00029205,1.529196155,4.522355699,0.612773478
SDC2,-5.23621449,2.98E-05,0.000291503,0.430392589,4.525909268,-1.216274858
MAN1A1,5.237190542,2.97E-05,0.000291503,3.254245471,4.526928689,1.702323079
TNC,5.257300003,2.83E-05,0.000280647,3.20972023,4.547924529,1.682447553
CRELD1,-5.263122117,2.79E-05,0.000280342,0.22600224,4.554000706,-2.145591021
BCAM,-5.266357219,2.77E-05,0.000279989,0.398233477,4.557376479,-1.328313589
OAF,5.276255172,2.71E-05,0.000275209,2.467962592,4.567702588,1.303320527
SERPINA3,5.294001805,2.59E-05,0.000265475,1.859710356,4.586208395,0.895077944
TMED2,-5.298294376,2.57E-05,0.000264506,0.560208878,4.590682945,-0.835963249
C4B,5.315352753,2.46E-05,0.000255603,3.276571315,4.608458082,1.712186933
CPN2,5.321751175,2.43E-05,0.000253411,3.014983719,4.615122692,1.592150211
SGCB,-5.332524059,2.36E-05,0.000248629,0.215653713,4.626340448,-2.213211536
COL16A1,-5.334683099,2.35E-05,0.000248629,0.378407526,4.628588146,-1.401987314
LAP3,5.339232146,2.33E-05,0.000248629,1.703184083,4.633323443,0.768234372
IGLC2,5.341342199,2.31E-05,0.000248629,2.319896282,4.635519634,1.214060307
ZMPSTE24,-5.343915425,2.30E-05,0.000248629,0.261846691,4.638197686,-1.933205724
ALCAM,-5.350630054,2.26E-05,0.000248202,0.505466319,4.645184723,-0.98431313
GPX3,5.366836839,2.18E-05,0.000240458,3.981611702,4.662042231,1.993352532
SOD1,-5.37282815,2.15E-05,0.000238739,0.554320019,4.66827166,-0.851208985
ITGAM,5.3814197,2.10E-05,0.000235574,3.247373815,4.677202358,1.699273467
APOA1,5.387346127,2.07E-05,0.000233953,2.055230327,4.683361131,1.039300084
A2M,5.387438932,2.07E-05,0.000233953,1.958262481,4.683457564,0.969574153
ACLY,5.3980271,2.02E-05,0.000231429,2.720653365,4.694457545,1.443953156
ANTXR1,-5.430656419,1.87E-05,0.000215663,0.680316564,4.728329368,-0.555721879
SERPINA10,5.43718912,1.84E-05,0.00021392,2.761134605,4.735105962,1.465261221
PLTP,5.450048489,1.78E-05,0.000209023,3.383650236,4.748440628,1.758580446
IGHG2,5.455555441,1.76E-05,0.000207869,2.21640568,4.75414917,1.14822197
BLVRB,5.465975242,1.72E-05,0.000205908,5.506499131,4.764947178,2.461135387
INPP5A,-5.467189124,1.71E-05,0.000205908,0.32124379,4.766204845,-1.63825953
IGHV6-1,5.478922258,1.67E-05,0.00020279,3.509677392,4.778358222,1.811338425
BLVRA,5.482885758,1.65E-05,0.000202477,4.125429877,4.782462461,2.044544458
SAA2-SAA4,5.484191712,1.65E-05,0.000202477,2.047777443,4.783814652,1.034058928
PVR,-5.486832707,1.63E-05,0.000202477,0.292288976,4.786548945,-1.774532676
APOA2,5.489366015,1.62E-05,0.000202477,1.825241186,4.789171488,0.868087113
COL4A1,-5.495818997,1.60E-05,0.000202477,0.677760649,4.795850627,-0.56115222
FHL1,-5.516365397,1.52E-05,0.000194679,0.572271162,4.817106077,-0.805229187
MCAM,-5.539037159,1.44E-05,0.000185989,0.424087752,4.840540568,-1.237565279
CAV1,-5.546251788,1.42E-05,0.000184361,0.43501164,4.847993547,-1.20087409
SLC14A1,-5.547485216,1.41E-05,0.000184361,0.416581103,4.849267512,-1.263330698
S100A8,5.54898291,1.41E-05,0.000184361,4.556551162,4.850814345,2.187942266
MAOB,-5.557089164,1.38E-05,0.000184317,0.189828927,4.859184971,-2.397228241
MYH11,-5.557799417,1.38E-05,0.000184317,0.549206914,4.859918259,-0.864578307
SLC12A6,5.606968226,1.23E-05,0.000166599,2.774393644,4.910631096,1.472172499
IGLL5,5.62306577,1.18E-05,0.000161778,2.256167253,4.927212214,1.173874021
IGFALS,5.661745081,1.08E-05,0.00014893,5.372215144,4.967008517,2.425517082
RAC2,5.664390359,1.07E-05,0.00014893,5.316554957,4.969727847,2.410491705
IGKC,5.698435013,9.89E-06,0.000139033,1.982573355,5.004698539,0.987374246
SCRN1,-5.708018467,9.67E-06,0.000137167,0.450341449,5.014533568,-1.150908828
FGA,5.716711851,9.47E-06,0.000135623,2.731850574,5.023451677,1.449878573
NT5E,-5.727928691,9.23E-06,0.000133313,0.626902436,5.034953558,-0.67368716
LRG1,5.750250749,8.75E-06,0.000127667,3.766656987,5.057826287,1.913284659
H1-0,-5.77746894,8.21E-06,0.000120874,0.17409455,5.085685844,-2.522057056
IGHV3-72,5.792359332,7.93E-06,0.000117832,2.664572249,5.100913004,1.413903952
PON1,5.793327361,7.91E-06,0.000117832,4.450748456,5.101902579,2.154047966
SORT1,-5.797456307,7.83E-06,0.000117832,0.248414307,5.106122949,-2.009179831
LIPA,5.799584674,7.79E-06,0.000117832,4.801226305,5.10829814,2.263402939
LPL,5.804900004,7.70E-06,0.000117832,4.750926084,5.11372951,2.248208761
TAGLN,-5.811030528,7.59E-06,0.000117832,0.559248262,5.119992272,-0.838439226
HRG,5.815149151,7.51E-06,0.000117832,4.198847805,5.124198773,2.069993496
RCN1,-5.815641235,7.50E-06,0.000117832,0.275400328,5.124701305,-1.860397816
PTGIS,-5.827809845,7.29E-06,0.000117439,0.387593404,5.137124746,-1.367384076
CYB5R3,-5.830439504,7.25E-06,0.000117439,0.357842244,5.139808583,-1.482604384
VTN,5.847496452,6.96E-06,0.000114518,2.214829949,5.15720922,1.147195935
IGHV3-7,5.848826866,6.94E-06,0.000114518,3.152973683,5.158565877,1.656713128
PGLYRP2,5.849753477,6.93E-06,0.000114518,4.119867699,5.159510718,2.042598009
LNPK,-5.863300316,6.71E-06,0.000113985,0.195113432,5.173319527,-2.357614994
IGHV3-15,5.867072683,6.65E-06,0.000113985,3.157662517,5.177163329,1.658856988
SFRP2,5.870192557,6.60E-06,0.000113985,4.253378427,5.180341781,2.088609219
SUSD5,-5.875293459,6.52E-06,0.000113985,0.160357904,5.18553748,-2.640632629
F2,5.889539615,6.31E-06,0.000113415,1.985868857,5.200041958,0.989770353
TYMP,5.895887118,6.22E-06,0.000113055,5.558750126,5.206501499,2.474760532
CYBRD1,-5.900063265,6.16E-06,0.000113055,0.572613879,5.210750325,-0.804365456
GC,5.928652122,5.76E-06,0.00010723,1.926917712,5.239814649,0.946294963
IGHV3-74,5.966722194,5.27E-06,9.93E-05,4.168323006,5.278457603,2.059467077
IGHG3,6.032965096,4.51E-06,8.61E-05,2.41837318,5.345531037,1.274036884
TTYH3,6.065664977,4.18E-06,8.08E-05,9.627699891,5.378562017,3.267191172
IGHG1,6.076949819,4.07E-06,7.97E-05,2.127143693,5.389948899,1.088917494
F13A1,6.08202996,4.03E-06,7.97E-05,2.858192532,5.39507292,1.515103102
DAG1,-6.085132589,4.00E-06,7.97E-05,0.356986968,5.398201719,-1.486056685
CSRP1,-6.090197837,3.95E-06,7.97E-05,0.543889244,5.403308666,-0.878615201
MMP12,6.100693918,3.86E-06,7.95E-05,9.598920836,5.413887096,3.262872219
H1-4,-6.106072137,3.81E-06,7.95E-05,0.255229152,5.419305387,-1.970134974
PCYOX1,-6.108683413,3.78E-06,7.95E-05,0.398468132,5.421935598,-1.327463746
COL1A1,6.141880331,3.50E-06,7.53E-05,1.889852798,5.455343521,0.918273866
MTDH,-6.149785873,3.44E-06,7.49E-05,0.181999573,5.463291158,-2.457993031
LTF,6.17459337,3.25E-06,7.18E-05,10.91886304,5.488210275,3.448750734
SSPN,-6.175797474,3.24E-06,7.18E-05,0.289979727,5.489419004,-1.785976052
KNG1,6.181683944,3.20E-06,7.18E-05,2.421900936,5.49532703,1.276139855
SERPIND1,6.192926003,3.11E-06,7.18E-05,4.666675595,5.506605365,2.222395182
ITIH2,6.193444053,3.11E-06,7.18E-05,3.381245222,5.507124932,1.75755465
RACK1,6.200406185,3.06E-06,7.18E-05,3.416786232,5.514106122,1.77263999
CFHR5,6.223467676,2.90E-06,7.01E-05,8.434979395,5.537213075,3.076384544
ITGA8,-6.229901946,2.86E-06,7.01E-05,0.395833608,5.543655174,-1.337033987
FERMT3,6.232102421,2.85E-06,7.01E-05,7.160013184,5.545857839,2.839962244
CFHR1,6.24698859,2.75E-06,6.97E-05,2.448523359,5.560752291,1.29191196
PGK1,6.265064375,2.64E-06,6.80E-05,1.582937607,5.578822793,0.662604392
MYL9,-6.26919432,2.61E-06,6.80E-05,0.448928107,5.582949164,-1.155443668
TGOLN2,-6.270349703,2.61E-06,6.80E-05,0.349267049,5.584103388,-1.517597556
C4BPA,6.276282527,2.57E-06,6.80E-05,3.407821689,5.590029178,1.76884985
EPX,6.358967165,2.13E-06,5.87E-05,3.025004271,5.672425065,1.59693718
DYNC1H1,-6.420412519,1.85E-06,5.19E-05,0.57073943,5.733423148,-0.80909586
IGKV3-20,6.430979136,1.80E-06,5.16E-05,2.467862466,5.743892672,1.303261995
AOC3,-6.450338083,1.73E-06,5.03E-05,0.342471544,5.763058294,-1.545943975
CPB2,6.460730354,1.69E-06,5.01E-05,4.562153246,5.773338526,2.189714909
ENPEP,-6.46840526,1.66E-06,5.01E-05,0.516420047,5.780926977,-0.953383088
CNN2,-6.470515694,1.65E-06,5.01E-05,0.47660205,5.783013084,-1.069142938
F10,6.498063865,1.55E-06,4.88E-05,6.737256677,5.810221778,2.752161264
MYL6,-6.569456651,1.32E-06,4.24E-05,0.435758171,5.880544195,-1.198400378
EMILIN2,6.579414966,1.29E-06,4.23E-05,5.582222886,5.890331234,2.480839729
SGCD,-6.580335046,1.28E-06,4.23E-05,0.318970289,5.891235217,-1.648506045
CORO1A,6.603022714,1.22E-06,4.19E-05,4.576529314,5.913511347,2.194253922
CACNA2D1,-6.610092915,1.20E-06,4.19E-05,0.46922651,5.920447554,-1.091643572
CTSG,6.611840321,1.20E-06,4.19E-05,6.512349681,5.922161422,2.703178167
CA2,6.68718365,1.01E-06,3.72E-05,3.67155672,5.995899301,1.876391888
SQOR,6.690291439,1.00E-06,3.72E-05,2.758955479,5.998934155,1.464122176
CA1,6.69875194,9.84E-07,3.72E-05,3.31908809,6.007193398,1.73078692
C1QB,6.699011441,9.83E-07,3.72E-05,4.028041839,6.007446663,2.010078669
ITGB1,-6.761082428,8.55E-07,3.48E-05,0.470234383,6.067918933,-1.088548064
BST1,-6.788753934,8.04E-07,3.36E-05,0.581091992,6.094808683,-0.783161521
C5,6.801138678,7.82E-07,3.36E-05,2.501375832,6.106829701,1.322721839
F9,6.816413573,7.56E-07,3.34E-05,3.659159779,6.121644179,1.871512413
HBD,6.823169492,7.44E-07,3.34E-05,3.835024215,6.128192296,1.939235687
CDH13,-6.845849956,7.08E-07,3.32E-05,0.493293187,6.150156433,-1.019482732
ITGAV,-6.855314557,6.93E-07,3.32E-05,0.569571013,6.159313574,-0.812052369
FKBP10,-6.909792782,6.14E-07,3.06E-05,0.355240537,6.21192407,-1.493131876
GNAQ,-6.926032073,5.92E-07,3.06E-05,0.509169279,6.227574237,-0.973782718
FABP5,6.950298632,5.61E-07,3.06E-05,6.111090854,6.250932675,2.61142993
SPTA1,6.968024809,5.40E-07,3.06E-05,1.945573819,6.267974416,0.96019572
C3,6.973658562,5.33E-07,3.06E-05,2.1545315,6.273386911,1.107374191
HBA1,6.987209255,5.17E-07,3.06E-05,3.367785327,6.286398043,1.751800179
HBB,6.991790162,5.12E-07,3.06E-05,3.243277405,6.29079419,1.697452426
APOH,6.992714968,5.11E-07,3.06E-05,2.203346814,6.291681551,1.139696598
CD59,-7.064061834,4.37E-07,3.06E-05,0.56395844,6.359992951,-0.826339245
ITIH4,7.088115884,4.14E-07,3.05E-05,2.616627475,6.382958191,1.387708545
RAN,7.106012285,3.98E-07,3.05E-05,4.859349331,6.400023052,2.280763149
OCC1,-7.106870895,3.97E-07,3.05E-05,0.374376734,6.400841308,-1.417437315
PLXDC2,-7.147398574,3.64E-07,3.05E-05,0.426733703,6.439416137,-1.228592038
RTN4,-7.219964601,3.10E-07,2.82E-05,0.459527562,6.508250056,-1.1217767
CTSS,-7.252517143,2.89E-07,2.79E-05,0.355939894,6.539029986,-1.490294456
NEGR1,-7.293382406,2.64E-07,2.73E-05,0.274115877,6.577583505,-1.8671422
CD36,7.30054063,2.60E-07,2.73E-05,3.729883534,6.58432687,1.899130583
PLG,7.306177128,2.57E-07,2.73E-05,2.313055314,6.58963462,1.209799767
FTH1,7.336625885,2.41E-07,2.73E-05,3.220155444,6.618275712,1.687130332
C1QC,7.367989497,2.25E-07,2.73E-05,2.920864718,6.647721299,1.54639554
LNPEP,-7.47919096,1.77E-07,2.73E-05,0.47873332,6.751663187,-1.062705874
IL4I1,7.556395187,1.50E-07,2.58E-05,9.396263264,6.823405299,3.232087135
FTL,7.622661623,1.30E-07,2.58E-05,4.175884513,6.884707226,2.062081814
KLKB1,7.66143161,1.20E-07,2.58E-05,5.602020918,6.920454262,2.485947371
LRP1,-7.678607442,1.16E-07,2.58E-05,0.489482881,6.936262922,-1.030669689
ITGA1,-7.766578617,9.62E-08,2.58E-05,0.360899559,7.016962631,-1.470330715
C1R,8.026836479,5.58E-08,2.58E-05,5.269025053,7.253072829,2.397536039
TPM2,-8.244906544,3.57E-08,2.58E-05,0.457373241,7.447883499,-1.128556132
CD47,-8.319252814,3.06E-08,2.58E-05,0.547499785,7.513671828,-0.869069695
