T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC
COL8A1,-2.935145949,0.007660647,0.020893975,0.624184612,2.115734552,-0.679955304
HSPB6,-2.935184336,0.00765997,0.020893975,0.400465759,2.11577295,-1.3202492
TSPAN9,-2.938680948,0.007598516,0.020828556,0.587326168,2.119271214,-0.767766178
CYBB,2.944550268,0.007496422,0.020621829,2.496210468,2.125145994,1.31973958
SRPRB,-2.949898504,0.007404536,0.020405371,0.348114419,2.130502127,-1.522366524
USP14,2.951232957,0.007381779,0.020378982,1.778714453,2.131838982,0.830834925
SERINC3,-2.953380975,0.007345287,0.020314515,0.568388903,2.13399123,-0.815049708
ATL3,-2.95960705,0.007240489,0.020060567,0.554782297,2.140232077,-0.850006342
CUTA,-2.963339479,0.007178354,0.01992412,0.357398875,2.143975147,-1.484393001
GNG7,-2.967336975,0.007112372,0.019776489,0.429706767,2.147985517,-1.218575597
TM9SF3,-2.973009276,0.007019744,0.019554099,0.488871885,2.153678696,-1.032471657
VAMP8,2.97801566,0.006938953,0.019363938,2.106866109,2.158706041,1.075098634
FAM3C,-2.993572624,0.006693555,0.018712904,0.679230585,2.174343167,-0.558026671
ATP5PF,-3.00040108,0.006588493,0.018452554,0.396925319,2.181213927,-1.333060503
EMC2,-3.001176286,0.006576666,0.018452554,0.440402526,2.181994209,-1.18310535
SPCS3,-3.001932413,0.00656515,0.018452554,0.381582778,2.182755339,-1.389932036
TGFBI,3.002751466,0.006552698,0.018452554,2.219734745,2.183579871,1.150387287
MANF,-3.003847608,0.006536068,0.018439345,0.415604392,2.184683442,-1.266717196
TXNDC5,-3.008554549,0.006465118,0.018272527,0.499759936,2.18942354,-1.000692844
APOB,3.016555083,0.006346217,0.017969325,1.808023301,2.197485079,0.854413271
ME1,-3.017764335,0.006328429,0.017951838,0.485804438,2.198704058,-1.041552424
MMP7,3.025652928,0.006213562,0.017658395,2.264796228,2.206659353,1.179381251
YWHAZ,-3.026568539,0.00620036,0.017653328,0.747379548,2.207583069,-0.42008701
H6PD,-3.029198774,0.006162586,0.017578151,0.300338447,2.210237007,-1.735338926
MYO1D,-3.029432248,0.006159244,0.017578151,0.637649117,2.210472615,-0.649165332
LMAN1,3.038786791,0.006026752,0.017254368,1.338871385,2.219916667,0.421017379
LILRB4,3.048177245,0.005896512,0.016912817,2.361314635,2.229404787,1.239590287
COX5A,-3.054791624,0.005806406,0.016685322,0.416488381,2.236092617,-1.263651848
PDGFRB,-3.057244927,0.005773323,0.01662115,0.546870027,2.238574137,-0.870730102
IGHG4,3.058998021,0.005749794,0.016584294,1.638081057,2.240347715,0.712006748
PSME2,3.062757335,0.005699649,0.016470389,2.339256044,2.244151857,1.226049781
MESD,-3.070338325,0.005599807,0.016212174,0.425455195,2.251826963,-1.232920885
POGLUT3,-3.074691447,0.005543239,0.016078514,0.420037938,2.256236364,-1.251408458
LRRC32,-3.076771251,0.005516408,0.016030764,0.516971722,2.25834363,-0.951842725
SLC25A3,-3.080893502,0.005463596,0.015907194,0.443289692,2.262521401,-1.173678279
VDAC2,-3.083814436,0.005426471,0.015828912,0.354909145,2.265482551,-1.494478345
LPA,3.084688765,0.005415405,0.015826496,2.028001712,2.266369058,1.02005887
VCAN,-3.084975132,0.005411785,0.015826496,0.517527921,2.266659428,-0.950291395
LCP1,3.088855336,0.005362971,0.015732738,1.820012407,2.270594555,0.863948286
HSPA1B,-3.089733468,0.005351983,0.015730352,0.767738443,2.271485292,-0.381313205
CLPTM1,-3.097949677,0.005250219,0.015460645,0.491866595,2.279822586,-1.023661017
SLC25A1,-3.101888746,0.005202095,0.015348166,0.35599522,2.283821708,-1.490070224
PLOD1,3.103524087,0.005182241,0.015318824,2.492473965,2.28548236,1.317578435
INSR,-3.104965686,0.0051648,0.015296516,0.438885705,2.286946456,-1.188082814
ITGAL,3.106479254,0.00514655,0.015271719,3.044127017,2.288483829,1.606028557
GNB4,-3.114184959,0.005054595,0.015056654,0.543550918,2.296313663,-0.879512906
IGHM,3.115385167,0.005040416,0.015043403,1.712805232,2.297533644,0.776361108
GOLGA7,-3.116782599,0.005023955,0.015027409,0.47279521,2.298954248,-1.080712676
ARF3,3.121218706,0.004972045,0.014925789,1.453009386,2.303464971,0.539044023
PTGDS,3.122738776,0.004954377,0.014901686,2.439104486,2.305010977,1.286351562
AFM,3.132030371,0.00484769,0.014609217,3.457500253,2.314465189,1.789729357
C5AR1,3.135893265,0.004803992,0.014534191,2.420773919,2.31839774,1.275468349
ALDH2,-3.153485711,0.004609752,0.013973874,0.404432655,2.336322481,-1.306028605
NOMO2,-3.167258334,0.004463009,0.013555622,0.337784077,2.350372268,-1.565826774
ADGRE5,-3.167276912,0.004462814,0.013555622,0.591781828,2.35039123,-0.7568627
FBLN5,-3.168109861,0.004454086,0.013555622,0.470246506,2.351241416,-1.088510871
SPARC,-3.176099903,0.004371198,0.013381925,0.230080008,2.359399529,-2.119792461
IGHA2,3.176276238,0.004369386,0.013381925,2.918349006,2.359579628,1.545152426
SUSD2,-3.181829778,0.004312678,0.013255269,0.410728368,2.365252951,-1.283743501
ART4,-3.182229217,0.004308627,0.013255269,0.458359479,2.365661096,-1.125448585
APOC4-APOC2,3.190052337,0.004230024,0.013053128,3.091909468,2.373657174,1.628498077
APOF,3.195554838,0.004175571,0.012910866,2.928714047,2.379284099,1.550267339
SEC61A1,-3.19737661,0.004157693,0.01288135,0.327951874,2.381147568,-1.608443975
RHD,3.199428982,0.004137641,0.012844965,2.412792007,2.383247212,1.270703554
FCGR3A,3.207046546,0.004064031,0.012641835,2.540966869,2.391042977,1.345377564
AMBP,3.215041774,0.003988138,0.012430768,1.517220253,2.399229867,0.601430535
PDLIM7,-3.216306,0.003976264,0.012418795,0.386072885,2.40052483,-1.373054862
PURA,-3.227524001,0.003872392,0.012118862,0.46509723,2.412020688,-1.104395747
DDOST,-3.23097644,0.003840958,0.012044869,0.34818815,2.415560478,-1.52206099
APLP2,-3.234439368,0.003809677,0.011971057,0.582910341,2.419111886,-0.778654099
IGKV2-30,3.236031032,0.003795382,0.011950429,3.367281402,2.420744506,1.751584291
NIBAN1,-3.237832322,0.003779268,0.011923975,0.529607681,2.422592367,-0.917004049
CSRP2,-3.23831681,0.003774945,0.011923975,0.508975951,2.42308942,-0.974330604
TGFB1,-3.239289957,0.003766276,0.011923975,0.665689249,2.424087857,-0.587079227
GMFG,3.24068703,0.003753865,0.011916787,2.406998163,2.425521355,1.267235041
TIMP1,3.250078145,0.003671462,0.011679179,3.503223512,2.435160917,1.808683038
PYGM,-3.266730763,0.003529642,0.011251189,0.344262568,2.452269335,-1.53841877
ROR1,-3.269467092,0.003506853,0.011201643,0.39117435,2.455082404,-1.354116321
CYP20A1,-3.271644737,0.00348882,0.011167112,0.322948776,2.45732149,-1.630622745
HEXB,-3.278231064,0.003434823,0.011039993,0.668788361,2.464095623,-0.580378354
