T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC,,,
COL6A3,2.394871663,0.033833523,0.080595727,1.985507806,1.470652777,0.989508033,,,
IGHV5-10-1,2.393429452,0.033922585,0.080632858,2.659317076,1.469511063,1.411055803,,,
AHNAK,2.381023355,0.034698083,0.082148908,1.218826278,1.459694515,0.28549251,,,
MAPK1,2.376712139,0.034971547,0.08254353,1.705004456,1.456285154,0.76977551,,,
CPXM2,2.372713753,0.035227019,0.082916811,2.064907807,1.453124102,1.046077371,,,
GLUL,2.37072938,0.035354474,0.082916811,2.130220397,1.451555623,1.091002703,,,
KRT14,2.370653184,0.035359377,0.082916811,3.177437716,1.451495401,1.667863846,,,
EDIL3,2.370055422,0.035397862,0.082916811,1.469583998,1.451022966,0.555407822,,,
SERPINE2,2.35870242,0.036136487,0.084370026,2.923010865,1.442054071,1.547455192,,,
LMAN2,2.358010612,0.036181971,0.084370026,1.609529158,1.441507778,0.686638713,,,
IQGAP1,2.354665161,0.0364027,0.08475689,1.355548823,1.438866398,0.438877076,,,
METRNL,2.347150435,0.036903236,0.085664268,2.265838833,1.43293555,1.180045247,,,
LUM,2.345673989,0.037002351,0.085668767,1.605021376,1.431770681,0.682592511,,,
TPM4,2.345470962,0.037016,0.085668767,1.773935104,1.431610509,0.826953232,,,
SLC3A2,2.341828536,0.037261699,0.085979981,1.493780188,1.428737341,0.578967869,,,
STX12,2.317678846,0.038930684,0.089165685,2.122661493,1.409707968,1.085874319,,,
TKT,2.305082859,0.039829349,0.090820314,1.70325994,1.399796797,0.768298626,,,
IGHA2,2.299285574,0.04024959,0.091085348,3.163406329,1.39523854,1.661478877,,,
RPS4X,2.285096326,0.0412961,0.092393301,1.762093508,1.38409096,0.817290485,,,
EHD1,2.270802939,0.042376508,0.094129428,1.422063091,1.372874831,0.507985473,,,
RPS18,2.269912661,0.042444686,0.094145603,2.413225073,1.372176672,1.270962477,,,
TWF2,2.262036815,0.043052392,0.095220312,1.444920506,1.366002714,0.530990124,,,
SH3BGRL3,2.257338903,0.043418822,0.095893569,1.18224221,1.362321968,0.241525635,,,
VPS29,2.245071106,0.044389734,0.097480864,2.078648335,1.352717461,1.055645704,,,
PCOLCE2,2.243599049,0.044507615,0.097601095,1.365320009,1.351565681,0.449239135,,,
APRT,2.233146097,0.045353273,0.098674342,2.129637678,1.343391363,1.090608001,,,
APCS,2.218297602,0.046580801,0.10085983,1.442305657,1.331793046,0.528376937,,,
SLC35A4,2.215140898,0.046845798,0.101291753,1.604331358,1.329329362,0.681972146,,,
ICAM1,2.212273491,0.047087746,0.10165392,2.005416253,1.327092094,1.00390172,,,
KRT17,2.21070157,0.047220885,0.101676168,2.209551455,1.325865873,1.143753529,,,
TPP1,2.206287056,0.047596697,0.101917582,1.488263433,1.32242318,0.573629916,,,
CD63,2.177028657,0.050159972,0.106667561,1.211944125,1.299642713,0.277323186,,,
CKAP4,2.165985787,0.051160898,0.108497597,1.620767565,1.291061842,0.696677208,,,
GUSB,2.163136274,0.05142222,0.108712983,2.059687909,1.288849176,1.042425752,,,
MAMDC2,2.149587408,0.052682065,0.110510817,2.845674137,1.278337212,1.508770466,,,
IGLV3-10,2.147115432,0.052915036,0.110849114,2.159116677,1.276420902,1.110441208,,,
RPSA,2.137721888,0.053809206,0.1122659,1.586565568,1.269143418,0.665907145,,,
EZR,2.12463139,0.055079011,0.113839774,2.052010294,1.259013867,1.037037969,,,
CAPZA1,2.11179369,0.05635159,0.115850476,1.130038844,1.249093828,0.176372364,,,
RALA,2.099618772,0.057583906,0.118069918,1.274265296,1.239698881,0.349665672,,,
WARS1,2.090437698,0.058529843,0.119461005,2.160842919,1.232622642,1.1115942,,,
MANBA,2.073396218,0.060324302,0.12239025,1.565232754,1.219507695,0.646377206,,,
NCKAP1L,2.064382339,0.061294119,0.12403234,1.914135095,1.212581193,0.936692655,,,
P2RX7,2.061581028,0.061598468,0.124322757,2.011185828,1.210430088,1.008046389,,,
RPL17,2.038979334,0.064106077,0.128544741,1.33502011,1.193100798,0.416861475,,,
PPIC,2.035454191,0.064505647,0.129011294,1.509449959,1.190402266,0.59402293,,,
HSPA8,2.032953868,0.064790458,0.129246513,1.200150649,1.188488952,0.263215512,,,
G6PD,2.032154266,0.064881786,0.12926191,1.746676891,1.187877201,0.804612756,,,
GLUD1,2.023112758,0.065922848,0.131166954,1.458857978,1.180964036,0.544839442,,,
TLR2,2.014513816,0.066927327,0.132653395,1.908561374,1.174396518,0.93248558,,,
FCGBP,2.010904033,0.067353219,0.133307698,2.206951667,1.171641643,1.142055035,,,
GSTT2B,1.993624337,0.069426942,0.136557318,1.76212423,1.158471964,0.817315638,,,
IGHM,1.987756167,0.070144517,0.137618557,1.558969362,1.154006271,0.640592575,,,
CD38,1.986377875,0.07031405,0.137776326,2.066697388,1.152957886,1.047327161,,,
PGK2,1.981182931,0.070956451,0.138683531,1.586065314,1.149008115,0.665452182,,,
MPP1,1.969363399,0.072438296,0.141044843,2.552042973,1.140031775,1.351652622,,,
SERPINF1,1.959735235,0.073666454,0.143075802,1.769182119,1.132730234,0.823082566,,,
FGL2,1.958306958,0.07385027,0.143252845,2.178408212,1.131647911,1.123274326,,,
KRT5,1.95498704,0.07427917,0.143544496,1.955856464,1.129132958,0.967800498,,,
KRT10,1.953267442,0.074502226,0.14375887,1.720649731,1.127830754,0.782953441,,,
GAPDH,1.931010259,0.07744545,0.148181517,1.18343842,1.111004093,0.242984638,,,
ALDOA,1.914050171,0.079759482,0.151857338,1.088010398,1.098217677,0.121692345,,,
CRTAC1,1.90930779,0.080417776,0.152922364,1.8556779,1.094647941,0.891946316,,,
UQCRC2,1.906275926,0.080841235,0.153350368,1.644198132,1.092367059,0.71738416,,,
LILRB4,1.903660893,0.081208114,0.15385753,1.808113016,1.090400575,0.854484856,,,
PGM1,1.899383681,0.081811475,0.154810943,1.286864479,1.087185778,0.36386013,,,
CTSA,1.895984805,0.082293854,0.155343465,2.049293252,1.084632599,1.035126448,,,
KRT85,1.892807548,0.08274713,0.15581859,1.707364342,1.082247062,0.771770954,,,
VAMP8,1.890831978,0.083030118,0.156161269,1.539793675,1.080764342,0.62273705,,,
STAM2,1.888590352,0.083352289,0.156352937,1.318709265,1.079082471,0.39912653,,,
STAB1,1.872322662,0.085724701,0.159867778,1.909679663,1.06689402,0.933330655,,,
PRG4,1.868784393,0.086248788,0.160651358,1.355102571,1.064246997,0.438402057,,,
HLA-DRB3,1.855302121,0.088272615,0.163802822,2.085377684,1.054174005,1.060308695,,,
AHNAK2,1.853467339,0.088551348,0.163952556,1.663492726,1.052804823,0.734215558,,,
KRT6A,1.848637102,0.089288966,0.164923227,2.587231551,1.049202209,1.371409178,,,
KRT16,1.847193124,0.089510554,0.165135222,1.965976006,1.048125755,0.975245714,,,
PRKACA,1.841934008,0.090321827,0.166433307,2.292748878,1.044207285,1.197078347,,,
F5,1.841139587,0.090444953,0.166461783,2.642032191,1.043615662,1.401648045,,,
PDCD6IP,1.839700698,0.090668352,0.166539855,1.384816446,1.042544279,0.469694763,,,
ARHGDIB,1.821854954,0.093480905,0.170627483,1.277779226,1.029277094,0.353638589,,,
PNP,1.820532594,0.093692423,0.170811894,1.525104266,1.028295529,0.608907878,,,
ARPC5,1.793172282,0.098166985,0.178129295,1.23919199,1.008034545,0.309399724,,,
NIBAN2,1.786057529,0.099361671,0.179874875,1.402501748,1.002781114,0.488002568,,,
RAP2B,1.778551672,0.100636192,0.181261763,1.230987593,0.997245806,0.299816221,,,
AK1,1.771914712,0.101775388,0.182534513,1.525114159,0.992357233,0.608917236,,,
RPS25,1.761194967,0.103639829,0.184919262,1.568826878,0.984473312,0.649686158,,,
VPS28,1.760834199,0.103703105,0.184919262,1.941486486,0.98420824,0.957161665,,,
ACP2,1.747770557,0.106017809,0.18861166,1.681124954,0.974621176,0.749426961,,,
PCOLCE,1.739679381,0.107474526,0.190327168,1.976685361,0.968694461,0.983083248,,,
RPL27,1.736657132,0.108023215,0.191079965,1.999063613,0.966482903,0.999324381,,,
SLC2A3,1.731342395,0.10899417,0.192577128,1.317605727,0.962596732,0.397918731,,,
RAB5A,1.71772738,0.111517098,0.196361541,1.284221869,0.952658541,0.360894471,,,
OXSR1,1.715241061,0.111983398,0.196734469,1.440415259,0.950846359,0.526484787,,,
AKR1A1,1.7129803,0.1124089,0.197034194,1.521452275,0.949199304,0.60544908,,,
USP14,1.696934515,0.11547041,0.200356064,1.602567222,0.937529294,0.680384874,,,
HSPA4,1.686834941,0.117435102,0.203262508,2.100016054,0.930202069,1.070400357,,,
CNP,1.684168368,0.117958751,0.203758915,1.423814927,0.928269834,0.509761631,,,
CD14,1.674120121,0.119950576,0.206968292,1.624551023,0.920997664,0.700041056,,,
OSTF1,1.671039292,0.120567199,0.207800323,2.207715521,0.918770829,1.142554283,,,
PSME1,1.654052528,0.124017542,0.21185759,1.18744573,0.906516882,0.247861579,,,
RAP2C,1.650903188,0.124666702,0.212496936,1.42680164,0.904249531,0.512784779,,,
C5AR1,1.638401289,0.127273223,0.216462489,1.459638293,0.895262958,0.545610905,,,
A4GALT,1.635564277,0.127871329,0.217002277,1.401783165,0.893226822,0.487263203,,,
RAB7A,1.622180241,0.130726334,0.2208775,1.099985602,0.883636918,0.13748464,,,
MTPN,1.618508266,0.131519306,0.221974725,1.703089301,0.88101049,0.768154085,,,
APOL1,1.603215174,0.134867263,0.227129399,1.72385809,0.870093457,0.785641015,,,
PSMB4,1.601590795,0.135227201,0.227487761,1.547210369,0.868935943,0.629669368,,,
COPG1,1.593488511,0.137035068,0.229281619,1.668013594,0.863168279,0.738131046,,,
ANGPTL4,1.592564408,0.137242595,0.229380596,1.518222519,0.86251108,0.602383256,,,
ITGAL,1.591067822,0.137579263,0.229694969,1.977981667,0.861447021,0.984029055,,,
BRK1,1.58733091,0.138423047,0.230854402,1.540863054,0.858791595,0.623738647,,,
CPNE1,1.584516626,0.13906147,0.231669215,1.280940227,0.856793185,0.357203156,,,
NID2,1.582888426,0.139431994,0.232036451,2.722330264,0.85563756,1.4448421,,,
PAFAH1B1,1.582199933,0.139588931,0.232047835,1.677064992,0.85514902,0.745938599,,,
GSTO1,1.568670849,0.142704009,0.235833422,1.189557845,0.845563828,0.250425428,,,
CFD,1.568187591,0.142816384,0.235833422,2.380129156,0.845221967,1.251039863,,,
ATP2B1,1.566801023,0.143139238,0.235833422,2.04060095,0.844241298,1.028994083,,,
SNX6,1.566183226,0.143283292,0.235833422,1.684252725,0.84380445,0.752108634,,,
RPL22,1.565065876,0.143544146,0.235833422,1.794434748,0.843014513,0.843529463,,,
LAMTOR3,1.560927699,0.144513819,0.237174484,1.38804088,0.840090622,0.473050058,,,
LTA4H,1.556558001,0.145543883,0.23861171,1.922652069,0.837006043,0.943097711,,,
SERPINB1,1.537173702,0.150190071,0.244930222,1.691625572,0.823358777,0.758410275,,,
PFN1,1.536135752,0.150442417,0.245083221,1.096402039,0.822629698,0.132776916,,,
PLEC,1.529592863,0.152041527,0.24742758,1.447087504,0.818037777,0.533152163,,,
LRRC25,1.514856438,0.15569669,0.252049301,1.428367745,0.807720621,0.514367461,,,
ITGA4,1.502235131,0.158886784,0.256408108,1.543453854,0.798912226,0.62616235,,,
SOD2,1.498338925,0.159882776,0.257477886,1.424012415,0.796198321,0.509961724,,,
COL15A1,1.487655343,0.162641185,0.260562976,2.744304274,0.788769471,1.456440449,,,
FKBP1A,1.48402827,0.163586829,0.261535923,1.615427883,0.786251666,0.691916347,,,
DCD,1.474031717,0.166217334,0.26519298,1.187674993,0.779323689,0.248140097,,,
CXCL12,1.464855683,0.168663427,0.268818204,1.312146082,0.77297908,0.391928345,,,
COL1A2,1.464111577,0.168863116,0.268859296,1.695415358,0.772465202,0.761638761,,,
PLEKHO2,1.453353532,0.171772572,0.273210285,1.475669332,0.765046181,0.561369479,,,
RPS16,1.447433306,0.173391646,0.275219184,1.566657311,0.76097183,0.647689641,,,
CTHRC1,1.439438753,0.17559841,0.278020589,1.542525105,0.755479422,0.62529397,,,
C1QTNF5,1.439086933,0.175696065,0.278020589,1.668464488,0.755237966,0.73852098,,,
KRT84,1.431191449,0.177899659,0.280645788,1.465957507,0.749824886,0.551843286,,,
UGP2,1.426010631,0.179358178,0.282083157,1.318173977,0.746278816,0.398540795,,,
GDI2,1.399687302,0.186924426,0.290776596,1.136817034,0.728333944,0.185000077,,,
SRPX,1.379190948,0.192998403,0.298973477,1.685752731,0.714446285,0.753392935,,,
AP2A1,1.37008034,0.195750359,0.302327727,1.685205885,0.708297433,0.75292486,,,
PLIN3,1.363485608,0.19776255,0.304826423,1.786712948,0.703855946,0.83730787,,,
HEPH,1.36111791,0.198489138,0.30533752,1.302508153,0.702263253,0.381292403,,,
COL4A2,1.359260793,0.199060582,0.305912186,1.384673248,0.701014731,0.469545573,,,
FBN1,1.352819738,0.201053041,0.307750496,1.195641323,0.696689354,0.257784665,,,
PPP2CB,1.351039254,0.201606699,0.307988099,1.258139985,0.695495042,0.33129245,,,
NPC2,1.347519659,0.202704839,0.308750425,1.160742137,0.693135883,0.215047508,,,
CDH1,1.341417152,0.204620517,0.311055377,1.3484438,0.689050823,0.431295395,,,
SCUBE3,1.330576413,0.208060217,0.315045147,1.322000931,0.681810954,0.402723193,,,
CD82,1.322346398,0.210703022,0.317799089,1.247811012,0.676329235,0.319399446,,,
STAT1,1.30747622,0.215547524,0.323844967,1.418851096,0.666456962,0.504723191,,,
GSTM3,1.301667938,0.217464214,0.325459512,1.258158386,0.6626122,0.33131355,,,
CRLF1,1.294279665,0.219922248,0.32818513,1.528080263,0.657730835,0.611720324,,,
FCGR2A,1.289437438,0.221545396,0.329970311,1.338329184,0.65453727,0.420433015,,,
GARS1,1.287382972,0.222236989,0.330681794,1.499271494,0.653183656,0.584261656,,,
CCT2,1.276177623,0.226039774,0.335371872,1.406375404,0.645815136,0.491981745,,,
EFEMP2,1.271270731,0.227721458,0.337219707,1.287276214,0.642596044,0.364321649,,,
FCGR1A,1.268038857,0.228834568,0.338543772,1.374918966,0.64047837,0.459346592,,,
NAP1L1,1.263927746,0.230256812,0.340073416,1.138752525,0.637787514,0.187454253,,,
RPL35,1.257043283,0.23265437,0.34222993,1.721910588,0.633288785,0.784010231,,,
FUCA1,1.2541384,0.233671994,0.343400097,1.229170863,0.631393336,0.297685474,,,
MYDGF,1.245330403,0.236779333,0.347306308,1.232719279,0.625656208,0.301844299,,,
PFKL,1.243372897,0.237474372,0.34799562,1.665069654,0.624383252,0.73558253,,,
PSMA6,1.232369495,0.241411581,0.353430213,1.142905372,0.617241899,0.192705959,,,
EIF5A,1.231051833,0.241886522,0.353456109,2.134621722,0.61638833,1.093980432,,,
VPS35,1.230238822,0.242179935,0.353550689,1.124688391,0.615861841,0.16952534,,,
PSMC4,1.224941268,0.244098729,0.356015694,1.44080701,0.612434481,0.526877105,,,
FCGRT,1.224212914,0.244363482,0.356065921,1.306011337,0.611963696,0.38516742,,,
AP1B1,1.221769268,0.245253394,0.357026128,1.848188128,0.610384973,0.886111617,,,
SLC16A3,1.221022108,0.245526002,0.357086735,1.277961711,0.609902508,0.353844613,,,
NDUFS7,1.213783482,0.248179507,0.360268091,1.3444567,0.605234083,0.427023292,,,
MRC1,1.210144708,0.24952192,0.3618026,1.492372202,0.602891297,0.577607393,,,
SNX12,1.209636672,0.249709799,0.3618026,1.414085465,0.602564416,0.499869317,,,
ICAM3,1.20901821,0.249938665,0.3618026,1.256388265,0.602166554,0.329282373,,,
MYH9,1.206032765,0.251045778,0.362725956,1.117453995,0.600247078,0.160215437,,,
RPL38,1.203146343,0.252119838,0.363598199,1.392403225,0.598392981,0.47757706,,,
CTSD,1.192801799,0.255998827,0.368504829,1.188509868,0.591762025,0.249153882,,,
HSP90AB1,1.191956229,0.256317956,0.368620986,1.047474685,0.591220968,0.066915378,,,
TINAGL1,1.18702348,0.25818586,0.370537226,1.773253274,0.588067546,0.826398611,,,
ARF4,1.185817765,0.258644049,0.370587303,1.590095283,0.587297509,0.669113219,,,
GGT1,1.179530178,0.261043734,0.373679271,1.617665524,0.583286727,0.693913341,,,
RRAGC,1.171265552,0.264224346,0.377882368,1.185895581,0.578027168,0.245976985,,,
COL12A1,1.165258067,0.266555174,0.380863493,1.322717989,0.574212883,0.403505504,,,
LRRC17,1.164015283,0.267039346,0.381202982,1.635306353,0.573424744,0.709560931,,,
CLDND1,1.163330663,0.267306357,0.381232129,1.483898591,0.572990714,0.569392502,,,
RPL9,1.124199037,0.282914323,0.400903339,1.343639617,0.548345065,0.426146239,,,
TPSB2,1.122007422,0.283808704,0.401434818,1.543787075,0.54697429,0.626473784,,,
HFE,1.111951549,0.287940132,0.405054999,1.271079202,0.540697801,0.346053928,,,
KCTD12,1.102452858,0.29188454,0.408744111,1.285891023,0.534788908,0.362768382,,,
FCN2,1.082151204,0.300452061,0.418090806,1.543477958,0.522224813,0.626184881,,,
CAB39,1.077234266,0.302555268,0.420638889,1.533775283,0.519195281,0.617087126,,,
COPA,1.072063795,0.304778825,0.423349563,1.419046371,0.51601521,0.504921734,,,
RPL3,1.060320519,0.30987443,0.42889412,1.55980419,0.508814259,0.641364932,,,
SPN,1.057178536,0.311248505,0.429634096,1.635815785,0.506892727,0.71001029,,,
HADHB,1.047860732,0.315350087,0.433361098,1.247710127,0.501207044,0.3192828,,,
FARP1,1.037587831,0.319918387,0.438141905,1.51288449,0.494960799,0.597301841,,,
CD163,1.030524045,0.323087841,0.442029914,1.321138327,0.490679386,0.401781529,,,
CFL2,1.028178617,0.324145307,0.443084567,1.140508484,0.489260262,0.189677179,,,
ACTR3,1.021666163,0.327094862,0.445540667,1.087674549,0.485326278,0.121246941,,,
PTPRC,1.015427607,0.329938769,0.449018782,1.20967807,0.481566651,0.274623156,,,
RAB13,1.007657704,0.333505968,0.452677987,1.506957452,0.47689639,0.591638684,,,
ECM2,1.002943867,0.33568376,0.455234292,1.204254327,0.474069669,0.268140107,,,
ALOX5,1.000807872,0.336673985,0.455777566,1.57202646,0.472790441,0.652625501,,,
CAPN1,0.991480439,0.341022922,0.4608579,1.152036142,0.467216429,0.204185978,,,
RPLP0,0.985373665,0.343892132,0.464329464,1.366492471,0.463577761,0.450477511,,,
DSP,0.980361851,0.346259852,0.466711187,1.487471134,0.460597861,0.572861671,,,
RAC1,0.971772489,0.35034491,0.470434095,1.109877208,0.455504188,0.150400072,,,
ASPN,0.971323374,0.350559453,0.470434095,1.158674675,0.455238318,0.212475553,,,
PSMB2,0.962453476,0.354815881,0.474931041,1.130150934,0.44999695,0.17651546,,,
RPL12,0.960642977,0.355689201,0.475688153,1.927788048,0.44892932,0.946946442,,,
ARRDC1,0.946197592,0.36271193,0.484660885,1.28809465,0.440438159,0.365238607,,,
GM2A,0.945373459,0.363115526,0.484781177,1.098021434,0.439955181,0.134906217,,,
ARF5,0.932948543,0.369238716,0.491259084,1.608928533,0.432692768,0.686100245,,,
TUBB3,0.927238626,0.372076836,0.494184526,1.275197471,0.429367367,0.350720674,,,
AP2S1,0.925999534,0.372694738,0.494249222,1.227149969,0.428646739,0.29531157,,,
ATIC,0.924314203,0.373536321,0.494847602,1.271931401,0.427667164,0.347020864,,,
PEA15,0.923123799,0.374131557,0.495211803,1.268880543,0.426975659,0.343556255,,,
APMAP,0.921597277,0.37489583,0.495798934,1.156238112,0.42608939,0.209438533,,,
NCSTN,0.914002968,0.378714202,0.499566686,1.067632698,0.421688408,0.094415396,,,
RAB31,0.90561398,0.382963447,0.50431132,1.137028912,0.416842676,0.185268939,,,
MSR1,0.903847109,0.383862604,0.504749798,1.380783379,0.415824195,0.465487003,,,
OMD,0.903452495,0.384063622,0.504749798,1.364603985,0.415596827,0.448482335,,,
TMEM119,0.903035966,0.384275881,0.504749798,1.721330465,0.415356873,0.783524096,,,
MVP,0.897871965,0.386914141,0.507783754,1.143741972,0.412385397,0.193761617,,,
LGALS3BP,0.88918392,0.3913809,0.513210239,1.328027214,0.407400372,0.409284711,,,
PDCD10,0.875445824,0.398515873,0.521239881,1.402097096,0.399554376,0.48758626,,,
PECAM1,0.869149356,0.401815376,0.525111218,1.130737385,0.395973449,0.177263901,,,
APOA5,0.863705092,0.40468318,0.527076829,1.464538836,0.392884846,0.550446451,,,
ITM2C,0.859985249,0.406650562,0.528808847,1.137853994,0.390778623,0.186315447,,,
RPS13,0.859897401,0.406697102,0.528808847,1.471583019,0.390728922,0.557368934,,,
GASK1B,0.846332838,0.413926267,0.537313258,1.335236671,0.383077013,0.417095482,,,
PSMA2,0.828980149,0.423298683,0.548525828,1.141593747,0.373353082,0.191049337,,,
MMP19,0.828362075,0.423635083,0.548525828,1.286200415,0.373008081,0.36311546,,,
GNG5,0.824994502,0.425471057,0.549981817,1.237251304,0.371129978,0.307138562,,,
XRCC6,0.82217277,0.427013475,0.55151448,1.33810535,0.36955842,0.420191705,,,
SNX2,0.818353832,0.429106837,0.553755568,1.194696571,0.367434566,0.256644249,,,
THBS2,0.811921361,0.432648012,0.557313047,1.19439182,0.363865287,0.25627619,,,
XRCC5,0.811383457,0.432945,0.557313047,1.347002445,0.363567272,0.429752469,,,
FLOT1,0.796353765,0.441296961,0.565188341,1.080886804,0.355269063,0.112215444,,,
KRT1,0.795772702,0.441621938,0.565188341,1.263915655,0.354949361,0.337900192,,,
SRC,0.789896728,0.444916931,0.567526052,1.295697332,0.351721067,0.373728752,,,
VWF,0.783127259,0.448732525,0.569883975,1.171336953,0.34801245,0.228156149,,,
RAD23B,0.78285413,0.448886913,0.569883975,1.332673244,0.347863056,0.414323092,,,
UGDH,0.78269451,0.448977155,0.569883975,1.373727185,0.347775756,0.458095521,,,
VAT1,0.781804466,0.449480558,0.570054916,1.105201984,0.347289089,0.144310057,,,
CAT,0.779590384,0.450734394,0.570619347,1.127520678,0.346079301,0.173153892,,,
GSN,0.777426857,0.451961759,0.570636718,1.076980615,0.34489831,0.106992282,,,
RAB8B,0.777035553,0.452183973,0.570636718,1.110143516,0.344684835,0.150746197,,,
GBA1,0.776862647,0.452282185,0.570636718,1.303912779,0.344590519,0.382847369,,,
MMP2,0.766642463,0.458111477,0.576742951,1.317764392,0.339028827,0.398092449,,,
SLC7A8,0.761528614,0.461046056,0.579882688,1.183993858,0.336255689,0.243661597,,,
IPO5,0.753439122,0.465712361,0.584369294,1.234542936,0.331882235,0.303977013,,,
NRP1,0.752840085,0.466059081,0.584369294,1.452906257,0.331559025,0.538941622,,,
SIGLEC1,0.751220399,0.46699736,0.584897872,1.385567633,0.330685574,0.470477134,,,
CCT5,0.745721858,0.47019146,0.587644298,1.48598922,0.327725263,0.57142365,,,
PLVAP,0.743118557,0.471708457,0.589064035,1.359515458,0.326326337,0.443092555,,,
RPL11,0.741078194,0.472899547,0.589598951,1.138605853,0.325231102,0.187268421,,,
CCT6A,0.732834471,0.477730923,0.594152296,1.1159997,0.320816646,0.158336639,,,
GSR,0.732225698,0.478088911,0.594152296,1.268052469,0.32049133,0.342614442,,,
CD180,0.710274264,0.491107582,0.607478432,1.230041515,0.308823361,0.298707008,,,
TFRC,0.707875959,0.492542874,0.608690075,1.141176828,0.307555959,0.190522358,,,
GAL3ST4,0.702790414,0.495594764,0.609695405,1.28001919,0.304873291,0.356165439,,,
FCN3,0.699538278,0.497552368,0.611459428,1.217936291,0.303161203,0.28443867,,,
PACSIN2,0.688063903,0.504496314,0.616551979,1.152439339,0.297142003,0.204690814,,,
TPT1,0.687695295,0.504720337,0.616551979,1.097083323,0.296949195,0.133673102,,,
RAB32,0.687344096,0.504933836,0.616551979,1.409962059,0.296765526,0.495656341,,,
IGHV3-49,0.685783736,0.505883048,0.616551979,1.361760185,0.295949873,0.445472658,,,
LAIR1,0.682210164,0.508060946,0.617501748,1.317184101,0.294084187,0.397457004,,,
GNG10,0.676209594,0.511730432,0.621473094,1.153611722,0.290958755,0.206157729,,,
GLIPR2,0.674697377,0.512657647,0.622110457,1.06848693,0.29017256,0.09556926,,,
SERPINH1,0.673442835,0.513427618,0.622556155,1.124548745,0.289520774,0.169346198,,,
ARHGDIA,0.670405785,0.515294409,0.623841156,1.240460865,0.28794457,0.31087622,,,
UBA1,0.656773491,0.523722629,0.632558738,1.114820277,0.28089866,0.156811148,,,
LAMA2,0.655892984,0.52426974,0.632725229,1.282312773,0.280445208,0.358748198,,,
UBE2N,0.653562661,0.525719303,0.633979752,1.195771221,0.279246077,0.257941395,,,
PTPRJ,0.650402988,0.527688448,0.635363193,1.144052977,0.277622413,0.19415386,,,
MSN,0.642471807,0.532649905,0.639345305,1.087163729,0.273558146,0.120569229,,,
GBE1,0.635683486,0.536917522,0.643347295,1.074928,0.270092423,0.10424003,,,
RPS7,0.62527725,0.543497135,0.649714963,1.288226396,0.264802741,0.365386158,,,
PLXND1,0.62478328,0.543810584,0.649714963,1.328112261,0.264552344,0.409377098,,,
ACE,0.620619698,0.546456617,0.651836004,1.169819034,0.262444311,0.226285368,,,
ATP5F1C,0.619894118,0.546918472,0.651836004,1.252255745,0.262077408,0.324529231,,,
VCP,0.614941279,0.550076936,0.654168417,1.068210639,0.259576564,0.095196158,,,
RAB11B,0.610568206,0.552874091,0.655625597,1.049806179,0.257373762,0.070122994,,,
RNF13,0.609784332,0.553376313,0.655625597,1.199817913,0.256979434,0.262815475,,,
EHD3,0.609712042,0.553422642,0.655625597,1.397176971,0.256943077,0.482514769,,,
TOLLIP,0.593727994,0.56371874,0.664766722,1.396089786,0.248937527,0.481391728,,,
KRT9,0.590019007,0.566122709,0.667092766,1.322744029,0.247089424,0.403533906,,,
SMOC2,0.58838287,0.56718493,0.667739498,1.330794081,0.246275317,0.412287354,,,
DNM2,0.587843433,0.567535382,0.667739498,1.315398622,0.246007058,0.395500064,,,
SERPINA5,0.584197358,0.569907168,0.670020138,1.34472043,0.244195881,0.427306265,,,
UCHL1,0.579680637,0.572852697,0.67144069,1.257889909,0.241957038,0.331005663,,,
CPT1A,0.567752443,0.580670564,0.679573575,1.098452255,0.236070189,0.135472164,,,
ILK,0.561615735,0.584714512,0.683701722,1.130681269,0.233056127,0.177192301,,,
PI4KA,0.56012452,0.585699418,0.683701722,1.15650072,0.232325208,0.209766164,,,
RPL6,0.541635685,0.597982488,0.694054749,1.092312413,0.223311534,0.127385542,,,
CAND1,0.539781806,0.599221374,0.694970926,1.115881533,0.222412704,0.158183873,,,
RHOG,0.535022258,0.602408024,0.696607817,1.062736451,0.220109252,0.087783866,,,
LGALS3,0.534981886,0.602435091,0.696607817,1.059713203,0.220089739,0.083673872,,,
PRPS1,0.532148525,0.604336235,0.698283871,1.145334683,0.218721366,0.195769235,,,
PRDX6,0.526848872,0.607900365,0.701353705,1.061361025,0.216167596,0.085915476,,,
RPL18,0.512715579,0.617456714,0.709730914,1.119165205,0.209393483,0.162423015,,,
RPL7A,0.508366777,0.620412084,0.712598129,1.197574605,0.207319752,0.260115534,,,
STXBP2,0.504586838,0.622986501,0.713963773,1.120472911,0.205521364,0.16410777,,,
MARCKS,0.498626107,0.627056783,0.717564608,1.118651629,0.20269313,0.161760822,,,
APPL1,0.48707818,0.634978772,0.724243785,1.21694368,0.197240793,0.283262402,,,
NME1,0.486704647,0.635235816,0.724243785,1.093698742,0.197065023,0.129215404,,,
PABPC1,0.482675743,0.63801143,0.725897189,1.197893803,0.195171541,0.260500014,,,
ARHGAP1,0.482088907,0.638416196,0.725897189,1.061179891,0.194896104,0.085669242,,,
NME1-NME2,0.481874444,0.638564151,0.725897189,1.064377347,0.194795467,0.090009712,,,
FBLN2,0.460819807,0.653167708,0.738695886,1.104281279,0.184975295,0.143107697,,,
RPL13,0.45890235,0.65450527,0.739667506,1.173840979,0.184086852,0.231236979,,,
