T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC,,,
IGFALS,4.538007529,0.000680187,0.007042004,4.797850584,3.167371559,2.262388229,,,
MMP12,4.535866052,0.000682721,0.007042004,9.820088827,3.16575671,3.295736074,,,
ITIH2,4.520275508,0.000701467,0.007042004,3.234930874,3.153992489,1.693734884,,,
F10,4.50762189,0.000717077,0.007084831,5.473845453,3.144434492,2.452554703,,,
CFHR1,4.498590933,0.000728438,0.007084831,2.366803134,3.137607488,1.242939711,,,
HRG,4.496919462,0.000730561,0.007084831,4.378388409,3.136343436,2.130399942,,,
PZP,4.494825951,0.00073323,0.007084831,4.150771563,3.134759999,2.053379536,,,
CD36,4.466786561,0.000769965,0.00734635,3.059020242,3.113529072,1.613069654,,,
OAF,4.464464064,0.000773092,0.00734635,2.907912039,3.111768587,1.53998363,,,
F13A1,4.463384656,0.00077455,0.00734635,2.481980409,3.110950281,1.311491728,,,
COL1A1,4.453423082,0.000788142,0.007384655,1.921978984,3.103395345,0.942592561,,,
LRG1,4.445768345,0.000798755,0.007394446,4.354529573,3.097586261,2.12251687,,,
FSCN1,4.44235459,0.000803536,0.007394446,3.721272247,3.094994577,1.895795941,,,
IGHV3-7,4.429441785,0.000821891,0.007430304,2.755755706,3.085185609,1.462448001,,,
PSMC3,4.396579384,0.000870599,0.007691123,2.16602438,3.060181704,1.115049481,,,
C1QB,4.384744657,0.000888868,0.00780122,3.593715968,3.051162858,1.845476389,,,
GMFG,4.382004596,0.000893154,0.00780122,4.105796232,3.049073683,2.037662029,,,
FGA,4.369712719,0.000912648,0.007882422,2.226511459,3.039696751,1.154785037,,,
GC,4.350433279,0.000944119,0.008027888,1.942170976,3.024973162,0.957670212,,,
MMP9,4.349862308,0.000945068,0.008027888,4.841624649,3.024536815,2.275491238,,,
SEPTIN6,4.326733366,0.000984358,0.008284764,5.888658674,3.00684681,2.557939053,,,
IGLL5,4.325772814,0.000986026,0.008284764,2.507975793,3.006111531,1.326523423,,,
IGKV4-1,4.315244566,0.001004502,0.008349247,1.994869098,2.998049255,0.996294081,,,
ATP6V1B2,4.307676855,0.001018004,0.008409184,2.270640626,2.992250512,1.183099389,,,
TTR,4.304784197,0.001023215,0.008409184,2.960601494,2.990033232,1.565890312,,,
IGHG1,4.301002017,0.00103007,0.008409184,2.225039772,2.987133459,1.153831124,,,
GPI,4.284529015,0.001060486,0.008494877,1.638187246,2.974495068,0.712100267,,,
ORM2,4.277434595,0.001073871,0.008557758,2.636856987,2.969047779,1.398819327,,,
THBS1,4.270618157,0.001086897,0.00857318,3.139021536,2.963811493,1.650314927,,,
IGHG2,4.26218984,0.001103231,0.008599729,2.479164959,2.957333688,1.309854269,,,
QSOX1,4.259253574,0.001108981,0.008599729,2.720738343,2.955076089,1.443998218,,,
KNG1,4.208561132,0.001213301,0.009194922,2.510486018,2.916031278,1.32796669,,,
PSMA7,4.191712,0.001250187,0.009337147,1.750977859,2.903024948,0.808160841,,,
BLVRB,4.167621791,0.001304955,0.009699328,4.397911,2.884404522,2.136818409,,,
PSMA3,4.16175317,0.001318669,0.009754368,1.618168324,2.879864058,0.694361687,,,
RAC2,4.155471862,0.001333514,0.009817203,4.370182156,2.875002431,2.127693415,,,
AHSG,4.121043399,0.001418008,0.010283021,2.268793113,2.848321226,1.181925058,,,
IGHV3-15,4.120397427,0.001419646,0.010283021,3.642544215,2.847820065,1.864946485,,,
SERPINF2,4.118592264,0.001424231,0.010283021,3.628786494,2.84641947,1.859487176,,,
SERPINA3,4.116312355,0.001430045,0.010283021,2.012634139,2.844650302,1.00908494,,,
PLOD1,4.106404534,0.001455596,0.010418294,2.56559248,2.836959117,1.35929203,,,
LIPA,4.082170931,0.001520101,0.0105648,3.563633839,2.818127463,1.833349109,,,
APOF,4.080776925,0.001523901,0.0105648,4.479685071,2.817043349,2.163397312,,,
MGAT1,4.0757409,0.001537708,0.010589301,2.605110264,2.813126089,1.381344438,,,
NAMPT,4.074498717,0.001541134,0.010589301,3.433001395,2.812159675,1.779470444,,,
TGFBI,4.070020294,0.00155355,0.010589389,2.878865795,2.808674879,1.525500536,,,
ALB,4.065658963,0.00156574,0.010596449,1.999307354,2.805280291,0.999500275,,,
GPX3,4.060602568,0.001579998,0.010620331,5.077256744,2.801343592,2.344049215,,,
RNPEP,4.034639171,0.001655347,0.01098355,4.580890024,2.781110837,2.195627928,,,
LAMTOR2,4.027450336,0.00167686,0.011078741,1.343109636,2.775503216,0.425577074,,,
TNFSF13,4.017066139,0.001708445,0.011191766,3.276367724,2.767398883,1.712097287,,,
HADHA,4.007575749,0.00173785,0.01128872,1.74784301,2.75998782,0.805575609,,,
SAA2-SAA4,4.002083133,0.001755106,0.011323638,2.146950194,2.755696759,1.102288723,,,
C8A,3.989349611,0.001795794,0.011410776,1.988346953,2.745743562,0.991569519,,,
CTSG,3.988306758,0.001799169,0.011410776,4.102884377,2.74492809,2.036638498,,,
MAN1A1,3.972010976,0.001852767,0.011643815,4.302603292,2.732179083,2.105209827,,,
TF,3.959638408,0.00189456,0.011810446,2.012580424,2.722491525,1.009046435,,,
PTGFRN,3.955164391,0.001909911,0.011858326,1.818215721,2.718986767,0.862523377,,,
SLC4A1,3.943926846,0.001949037,0.012052846,2.394102445,2.710179871,1.259484887,,,
C6,3.905904218,0.002087657,0.012706763,2.161554913,2.680340853,1.112069488,,,
IDH1,3.897384059,0.002120089,0.012836082,1.957776058,2.673646007,0.969215751,,,
C1S,3.891513669,0.002142735,0.012887239,1.73891093,2.669031474,0.798184037,,,
CAMP,3.886483676,0.002162338,0.012887239,1.521650607,2.665076397,0.605637133,,,
DCN,3.88628781,0.002163105,0.012887239,2.774724697,2.664922367,1.472344637,,,
PLTP,3.880997713,0.002183928,0.01293622,3.300942707,2.660761584,1.722878098,,,
IGKC,3.876354129,0.002202377,0.012995706,1.931739036,2.657108336,0.94990021,,,
APOA2,3.859936134,0.0022689,0.013333539,1.680269205,2.644184634,0.748692393,,,
IGHV3-72,3.856273278,0.002284021,0.013333539,2.30601481,2.64129984,1.205401778,,,
C8G,3.854913322,0.002289662,0.013333539,2.050884916,2.640228624,1.036246538,,,
TCIRG1,3.848107312,0.002318107,0.013333539,1.580985352,2.634866507,0.660824001,,,
IGLV1-36,3.837368715,0.002363729,0.013484596,4.442426403,2.626402268,2.151347876,,,
LGALS9,3.833494166,0.002380416,0.013493178,3.911965697,2.623347176,1.96789372,,,
APOA1,3.824615819,0.00241911,0.013501606,2.066581609,2.616344303,1.047246337,,,
ORM1,3.808525026,0.002490895,0.013802595,2.353086395,2.603644539,1.234554291,,,
A2M,3.795072731,0.002552587,0.014086504,1.9551993,2.593019388,0.967315674,,,
ANK1,3.783428761,0.002607253,0.014193004,6.162990314,2.583816827,2.623630524,,,
SCPEP1,3.776789688,0.002638959,0.01426514,2.517905071,2.578567433,1.332223892,,,
CPN2,3.772027832,0.002661943,0.014324258,2.978607953,2.574801279,1.574638247,,,
PON1,3.757289691,0.002734391,0.014541975,3.727244438,2.563139406,1.898109436,,,
MMP7,3.75015592,0.002770182,0.014666785,2.231203546,2.557491709,1.157822132,,,
LTF,3.734981164,0.002847923,0.015026924,7.747265549,2.545471768,2.953687191,,,
ITGA6,3.725070489,0.0028999,0.015249136,2.504380186,2.537616918,1.324453592,,,
TALDO1,3.71247882,0.002967344,0.01549836,1.891157478,2.527632036,0.919269502,,,
MASP2,3.685132955,0.003119408,0.016237726,1.782593658,2.505927842,0.833977878,,,
OTUB1,3.681226702,0.003141772,0.016299261,2.238689061,2.502825322,1.162654161,,,
APOE,3.678258556,0.003158875,0.016333181,1.951720354,2.500467532,0.964746356,,,
SDCBP,3.65948592,0.003269278,0.016791707,1.515336965,2.485548156,0.599638641,,,
EHD4,3.655556159,0.003292885,0.016805237,1.764178291,2.482423487,0.81899637,,,
CRP,3.655428803,0.003293653,0.016805237,2.87855419,2.482322214,1.525344372,,,
SLC2A1,3.650151148,0.003325639,0.016912623,1.920522354,2.478124948,0.941498756,,,
CNDP2,3.642261021,0.003374052,0.017060606,2.698701927,2.471848258,1.432265639,,,
SLC2A5,3.633857127,0.003426411,0.017254824,5.207676356,2.465160574,2.380639791,,,
S100A8,3.624589626,0.003485115,0.017436852,3.65208276,2.457782937,1.868719459,,,
IGHG3,3.619011492,0.003520943,0.017502825,2.237400478,2.453340962,1.161823511,,,
HPR,3.608738114,0.003587918,0.017735311,4.356054007,2.445157432,2.123021841,,,
SERPINA10,3.602923188,0.003626403,0.017827966,2.588765249,2.440523897,1.372264147,,,
LCP1,3.600118536,0.003645116,0.017827966,1.855415871,2.438288667,0.891742587,,,
IGLC2,3.591543615,0.003702941,0.017945917,2.160056194,2.43145315,1.111068845,,,
PGD,3.589544256,0.003716559,0.017955249,4.404576397,2.429859024,2.139003277,,,
PGK1,3.587856223,0.003728095,0.017955249,1.514537324,2.428513026,0.598877132,,,
F13B,3.573945147,0.003824571,0.018249341,2.454279455,2.417417297,1.29529953,,,
LBP,3.572073301,0.003837746,0.01825586,2.742155651,2.415923823,1.455310464,,,
C8B,3.568711367,0.003861525,0.018262973,1.627938706,2.413241197,0.703046381,,,
NAGK,3.568522215,0.003862867,0.018262973,1.931581818,2.413090255,0.949782789,,,
HP,3.552654203,0.003977189,0.01868916,2.24235674,2.400423809,1.165015817,,,
IGHV4-34,3.528954456,0.004154398,0.019229639,2.377246947,2.38149189,1.249291778,,,
